site,sum_squares,Beta_dispersion,Beta_avg_pairwise,gamma_sum_squares,gamma_dispersion,beta_agg_sum_squares,beta_agg_dispersion,Beta_agg_avg_pairwise,plot_sum_squares,plot_beta_dispersion,plot_avg_pairwise
BART,103.63430716851543,0.01665610851310116,0.15335280076680274,103.63430716851543,0.01665610851310116,0.5046588571763796,0.006388086799701007,0.09388721456161335,13.90986538970329,0.40911368793244973,0.12943167307211814
CLBJ,243.51162229718418,0.01614049329205171,0.14961340482851657,243.51162229718418,0.01614049329205171,2.2444882023054644,0.009352034176272768,0.11388140045986078,41.89062380983491,1.2694128427222702,0.23223676049879305
CPER_1,27.749528374121496,0.001147813053198275,0.03955536374491716,27.749528374121496,0.001147813053198275,0.1947628441652131,6.906483835645855e-4,0.03091136573990906,5.187685528662209,0.07518384824148129,0.037408488041670095
CPER_2,186.81568606287803,0.007727319906637907,0.10157979034520195,186.81568606287803,0.007727319906637907,1.080078316284506,0.0038300649513634964,0.07300870648814013,11.235429332198732,0.16283230916230046,0.06435093374854063
GRSM,34.58936091561715,0.002715233606689469,0.04377462126875082,34.58936091561715,0.002715233606689469,0.8549491284021042,0.0031547938317420822,0.04352298627082353,9.209728615891745,0.2631351033111927,0.08801396935688612
JORN_1,9.05458322666256,5.9378209893518e-4,0.029029873023687466,9.05458322666256,5.9378209893518e-4,0.07601505275671613,4.343717300383779e-4,0.025117003191245716,2.0574425290331173,0.06429507903228492,0.02460740014490865
JORN_2,6.714910813265067,4.4035089601056245e-4,0.025135305115941944,6.714910813265067,4.4035089601056245e-4,0.054085785932434745,3.0906163389962714e-4,0.021186876227380965,1.8408101617988666,0.05752531755621458,0.02488645274958035
KONA,39.50284609860573,0.02839888288900484,0.20120375972845048,39.50284609860573,0.02839888288900484,0.4642258433645882,0.011052996270585433,0.12954853043576578,28.17364720105427,0.828636682383949,0.14185722285051683
KONZ_1,104.24272657409172,0.00824509424773327,0.10824715181400332,104.24272657409172,0.00824509424773327,0.681891475870105,0.004545943172467367,0.08088280752336555,7.493976105789046,0.23418675330590769,0.0700788791285577
KONZ_2,95.66076344775664,0.0075663025743697414,0.09830229082805812,95.66076344775664,0.0075663025743697414,0.5864618712961074,0.003909745808640716,0.06912002398991081,5.756313470000909,0.1798847959375284,0.08486033156735873
MOAB_1,26.887373409241086,0.001475949575080479,0.04327612689720576,26.887373409241086,0.001475949575080479,0.17615553033271167,7.934933798770796e-4,0.03358822614776039,12.759066570638058,0.386638380928426,0.062478749336024354
MOAB_2,52.13703577853814,0.002861998999755072,0.05576343789672,52.13703577853814,0.002861998999755072,0.3261801304855539,0.0014692798670520445,0.04331078964768533,17.800707904162724,0.5394153910352341,0.0829851819933498
