site,sum_squares,Beta_dispersion,Beta_avg_pairwise,gamma_sum_squares,gamma_dispersion,beta_agg_sum_squares,beta_agg_dispersion,Beta_agg_avg_pairwise
ABBY_1,285.05411539324973,0.022702621487197334,0.1665789884624543,285.05411539324973,0.022702621487197334,2.3094692361670233,0.013349533157034816,0.12554477290037047
ABBY_2,192.80072403007034,0.015355266329250584,0.13422140660427193,192.80072403007034,0.015355266329250584,1.317337289484201,0.007614666413203474,0.09522006306252115
BART,71.41636209292483,0.011478039552061206,0.08940244890207386,71.41636209292483,0.011478039552061206,0.6023822178493506,0.007625091365181654,0.07409681627746766
BLAN,24.270259588525537,0.010868902637046814,0.11441731626056521,24.270259588525537,0.010868902637046814,0.16397371707654843,0.004315097817803906,0.06885678531976909
CLBJ,263.5411048918337,0.017468092058847598,0.1525328150884837,263.5411048918337,0.017468092058847598,1.7651779076111196,0.007354907948379665,0.09864669920874229
CPER,33.79846478389272,0.0013980172395720019,0.045356716110812524,33.79846478389272,0.0013980172395720019,0.2628816560972776,9.322044542456652e-4,0.03743729483169012
DCFS,42.31476265230584,0.012423594436965895,0.0958304800944874,42.31476265230584,0.012423594436965895,0.16643657487830707,0.003396664793434838,0.060490248476299635
DELA,50.302214781867555,0.034126332959204586,0.16721467557487563,50.302214781867555,0.034126332959204586,0.45834923190020915,0.020834055995464052,0.14059070433607698
DSNY_1,520.0238136539615,0.033334859849612916,0.20621971604070566,520.0238136539615,0.033334859849612916,5.368981493008699,0.02725371316248071,0.17829029109466382
DSNY_2,507.10540791953895,0.03250675691791916,0.20101715785894866,507.10540791953895,0.03250675691791916,5.591750859309317,0.028384522128473692,0.18459526857197206
GRSM_1,61.74965999061366,0.00484729256539867,0.08015131212316583,61.74965999061366,0.00484729256539867,1.0636091254038604,0.003924756920309448,0.07202265713451625
GRSM_2,284.23359897048226,0.022312080930252158,0.1281394664142892,284.23359897048226,0.022312080930252158,5.801243506709619,0.021406802607784572,0.1284573130299592
GUAN_1,136.99811956765132,0.015954130612280345,0.13487277279383736,136.99811956765132,0.015954130612280345,1.9281717995263217,0.017370917112849747,0.14356783806409468
GUAN_2,132.49697069798052,0.015433543470935413,0.13193684447992626,132.49697069798052,0.015433543470935413,1.826336184860177,0.016453479142884475,0.1384119922987697
HARV,66.55268343883183,0.004678242896023607,0.043987199994490286,66.55268343883183,0.004678242896023607,0.71208564786273,0.0037087794159517185,0.04996333530787933
