"siteID","file_id","variant","sample_n","q","M","M_prime","qHt","qEt","qDT","qDTM"
"ABBY","ABBY_1","Raw",10294,0,0.1243,0.1244,105946248,1,10293.5194,1280.9942
"ABBY","ABBY_1","Raw",10294,1,0.1243,0.1244,73395016.9101,0.8323,8567.5892,1066.3756
"ABBY","ABBY_1","Raw",10294,2,0.1243,0.1244,53301412.8795,0.7093,7301.2817,908.9109
"ABBY","ABBY_1","BrightnessNorm",10294,0,0.2263,0.2263,105946248,1,10293.5194,2329.937
"ABBY","ABBY_1","BrightnessNorm",10294,1,0.2263,0.2263,78779451.9605,0.8623,8876.279,2009.2825
"ABBY","ABBY_1","BrightnessNorm",10294,2,0.2263,0.2263,64383919.5986,0.7795,8024.4591,1816.5559
"ABBY","ABBY_1","VectorNorm",10294,0,0.2263,0.2263,105946248,1,10293.5194,2329.937
"ABBY","ABBY_1","VectorNorm",10294,1,0.2263,0.2263,78779451.9605,0.8623,8876.279,2009.2825
"ABBY","ABBY_1","VectorNorm",10294,2,0.2263,0.2263,64383919.5986,0.7795,8024.4591,1816.5559
"ABBY","ABBY_1","BrightVectorNorm",10294,0,0.2263,0.2263,105946248,1,10293.5194,2329.937
"ABBY","ABBY_1","BrightVectorNorm",10294,1,0.2263,0.2263,78779451.9605,0.8623,8876.279,2009.2825
"ABBY","ABBY_1","BrightVectorNorm",10294,2,0.2263,0.2263,64383919.5986,0.7795,8024.4591,1816.5559
"ABBY","ABBY_2","Raw",10294,0,0.2133,0.2133,105946950,1,10293.5535,2196.7152
"ABBY","ABBY_2","Raw",10294,1,0.2133,0.2133,86239188.6146,0.9022,9287.0057,1982.0088
"ABBY","ABBY_2","Raw",10294,2,0.2133,0.2133,73696849.8103,0.834,8585.187,1832.304
"ABBY","ABBY_2","BrightnessNorm",10294,0,0.1868,0.1868,105946950,1,10293.5535,1923.5187
"ABBY","ABBY_2","BrightnessNorm",10294,1,0.1868,0.1868,77209456.9158,0.8536,8787.3912,1642.214
"ABBY","ABBY_2","BrightnessNorm",10294,2,0.1868,0.1868,61844343.9445,0.764,7864.6175,1469.8683
"ABBY","ABBY_2","VectorNorm",10294,0,0.1868,0.1868,105946950,1,10293.5535,1923.5187
"ABBY","ABBY_2","VectorNorm",10294,1,0.1868,0.1868,77209456.9158,0.8536,8787.3912,1642.214
"ABBY","ABBY_2","VectorNorm",10294,2,0.1868,0.1868,61844343.9445,0.764,7864.6175,1469.8683
