"siteID","file_id","variant","n_comm","M_beta","Ht_beta","qDT_beta","qDTM_beta"
"ABBY","ABBY_1","Raw",10294,0.1243,73395016.9101,8567.5892,1066.3756
"ABBY","ABBY_1","BrightnessNorm",10294,0.2263,78779451.9605,8876.279,2009.2825
"ABBY","ABBY_1","VectorNorm",10294,0.2263,78779451.9605,8876.279,2009.2825
"ABBY","ABBY_1","BrightVectorNorm",10294,0.2263,78779451.9605,8876.279,2009.2825
"ABBY","ABBY_2","Raw",10294,0.2133,86239188.6146,9287.0057,1982.0088
"ABBY","ABBY_2","BrightnessNorm",10294,0.1868,77209456.9158,8787.3912,1642.214
"ABBY","ABBY_2","VectorNorm",10294,0.1868,77209456.9158,8787.3912,1642.214
"ABBY","ABBY_2","BrightVectorNorm",10294,0.1868,77209456.9158,8787.3912,1642.214
"BART","BART","Raw",5458,0.1247,21048917.3613,4588.4099,573.0926
"BART","BART","BrightnessNorm",5458,0.1364,15843609.7405,3980.9032,543.9978
"BART","BART","VectorNorm",5458,0.1364,15843609.7405,3980.9032,543.9978
"BART","BART","BrightVectorNorm",5458,0.1364,15843609.7405,3980.9032,543.9978
"BLAN","BLAN","Raw",1682,0.2323,2409402.6667,1552.7252,361.7574
"BLAN","BLAN","BrightnessNorm",1682,0.1752,2184173.729,1478.3951,260.0628
"BLAN","BLAN","VectorNorm",1682,0.1752,2184173.729,1478.3951,260.0628
"BLAN","BLAN","BrightVectorNorm",1682,0.1752,2184173.729,1478.3951,260.0628
"CLBJ","CLBJ","Raw",12106,0.1091,113571768.2814,10657.5056,1163.2118
"CLBJ","CLBJ","BrightnessNorm",12106,0.1773,115097847.6122,10728.8665,1902.7594
"CLBJ","CLBJ","VectorNorm",12106,0.1773,115097847.6122,10728.8665,1902.7594
"CLBJ","CLBJ","BrightVectorNorm",12106,0.1773,115097847.6122,10728.8665,1902.7594
"CPER","CPER","Raw",22421,0.1728,409566583.4167,20238.2514,3498.8644
"CPER","CPER","BrightnessNorm",22421,0.1537,427909980.8354,20686.4851,3180.7911
"CPER","CPER","VectorNorm",22421,0.1537,427909980.8354,20686.4851,3180.7911
"CPER","CPER","BrightVectorNorm",22421,0.1537,427909980.8354,20686.4851,3180.7911
"DCFS","DCFS","Raw",2516,0.1991,3867245.9197,1967.0315,392.72
"DCFS","DCFS","BrightnessNorm",2516,0.1343,3460383.8494,1860.7108,250.8834
"DCFS","DCFS","VectorNorm",2516,0.1343,3460383.8494,1860.7108,250.8834
"DCFS","DCFS","BrightVectorNorm",2516,0.1343,3460383.8494,1860.7108,250.8834
"DELA","DELA","Raw",1092,0.1249,702483.8756,838.6433,105.7628
"DELA","DELA","BrightnessNorm",1092,0.1517,586957.7084,766.6318,117.2883
"DELA","DELA","VectorNorm",1092,0.1517,586957.7084,766.6318,117.2883
"DELA","DELA","BrightVectorNorm",1092,0.1517,586957.7084,766.6318,117.2883
"DSNY","DSNY_1","Raw",14327,0.1069,147649516.2938,12151.6117,1299.9275
"DSNY","DSNY_1","BrightnessNorm",14327,0.1934,161494863.1459,12708.5629,2458.2825
"DSNY","DSNY_1","VectorNorm",14327,0.1934,161494863.1459,12708.5629,2458.2825
"DSNY","DSNY_1","BrightVectorNorm",14327,0.1934,161494863.1459,12708.5629,2458.2825
"DSNY","DSNY_2","Raw",14327,0.1087,137535511.475,11728.0535,1275.9758
"DSNY","DSNY_2","BrightnessNorm",14327,0.2323,155441953.6277,12468.1363,2896.971
"DSNY","DSNY_2","VectorNorm",14327,0.2323,155441953.6277,12468.1363,2896.971
"DSNY","DSNY_2","BrightVectorNorm",14327,0.2323,155441953.6277,12468.1363,2896.971
"GRSM","GRSM_1","Raw",8132,0.178,52636642.3048,7255.6115,1292.4408
"GRSM","GRSM_1","BrightnessNorm",8132,0.1788,52528695.4436,7248.1683,1296.7928
"GRSM","GRSM_1","VectorNorm",8132,0.1788,52528695.4436,7248.1683,1296.7928
"GRSM","GRSM_1","BrightVectorNorm",8132,0.1788,52528695.4436,7248.1683,1296.7928
