siteID,FHD_M_prime_norm,FHD_qEt_norm,FHD_qDT_norm,FHD_qDTM_norm,cover_M_prime_norm,cover_qEt_norm,cover_qDT_norm,cover_qDTM_norm,PAI_M_prime_norm,PAI_qEt_norm,PAI_qDT_norm,PAI_qDTM_norm,FHD_cover_PAI_M_prime_norm,FHD_cover_PAI_qEt_norm,FHD_cover_PAI_qDT_norm,FHD_cover_PAI_qDTM_norm
BART,0.001102700699688413,0.25619440146436334,0.12768106656990003,0.04411171710331392,0.6558742224086211,0.6982930582774045,0.12148842413719599,0.08093408236040538,0.8533514545405166,0.8561726037901153,0.1291704117734752,0.12899623165283883,0.6092817087295074,0.5519421693154152,0.12345473594097384,0.091456636860474
BLAN,0.6626003772948581,0.01458134945623362,0.026272637237774583,0.027804955273391715,0.9807908393996897,0.6246425176413232,0.025798548559830218,0.026641552838997714,1,0.8734041647216507,0.028647297335610084,0.03480064799517077,1,0.5446858385956874,0.02700547203246982,0.03080128466504545
CLBJ,0.5737730932219981,0.36851958055108114,0.4656292771888642,0.44473600874346114,0.8337975405838459,0.6679134439984036,0.426862656204992,0.35740111028048727,0.4488472665921101,0.6704028277398818,0.4160498532746245,0.21777932715848392,0.7148432260045019,0.527910382723991,0.4367040206788006,0.36630017361911676
CPER,0.008254600584064626,0.1158730881564395,0.5194566179365508,0.18637456141365244,0.037731922198939685,0.7080298666941552,0.5113002700585901,0.024957675095360916,0.012747896919138904,0.7886988666541539,0.5228382223767523,0.010011119531789667,0.0034037225264928273,0.37294990667365024,0.49677612027177553,0.08192322879502435
DCFS,0.11490506866149452,0.11887506576503894,0.4566764460405484,0.21512305915282404,0.07460474228249676,0.18664071222449596,0.35700551024068933,0.030478044488826392,0.027787195730110348,0.27765783516304626,0.3365561742266147,0.01230564461479989,0.06607928772802812,0.2600787041815577,0.42489645686773636,0.09523418188078714
DSNY,0.779409254595509,0.38660788096888743,0.2446483959184193,0.28693393355953956,0.9073478445082084,0.5560462824694339,0.2134032621860795,0.1948752630384102,0.6190861977971275,0.49874818216329264,0.19679206300294438,0.14236386511817398,0.8802682316359784,0.43259722787375215,0.22364609958335788,0.22301879766057464
GRSM,0.308781236782598,0.06165717095453756,0.9727627820517203,0.6576809520029582,1,0.7893403082253603,1,1,0.8628318213669264,0.806248232482969,1,1,0.8860489403643222,0.6378302763368519,1,1
GUAN,0.6453358499171066,0.3977000744529919,0.059274898307228666,0.061233890157573745,0.8846560470290771,0.585638684523723,0.05221640184889691,0.04743604908567595,0.6370369257225678,0.4610378021667081,0.04622710142237576,0.035299918810035295,0.8381214266134064,0.4310170868200567,0.05404895497351688,0.052260188384019725
HARV,0.5633962964088146,0.07380237256029702,0.16230368706805565,0.15330456757641112,0.8874622101519078,0.6634574337835228,0.1586021031962913,0.14199066298363208,0.9335144681836598,0.866642956986191,0.1718910626721536,0.1871954870292692,0.8887800915708526,0.5571817552841415,0.16363811097075198,0.16468965441729216
JORN,0.06291897146219363,0.1355742117202343,0.1689217803176833,0.06976918845521987,0.03354077425881395,0.7762264570297068,0.17017800600134733,0.007580222883293108,0.011276749864072943,0.8443546974156233,0.17440227105180772,0.003035052735844437,0.02613374812424712,0.3501650526739763,0.1600424848916768,0.02951684976165084
