site,year,sample_type,sample_n,replicate,metric,q,n_shots,M,M_prime,qHt,qEt,qDT,qDTM
ABBY,2025,all_shots,218,NA,FHD,0,218,0.1804138474645021,0.18124524768323252,47304,0.999978909404837,217.99540225025447,40.329389249540185
ABBY,2025,all_shots,218,NA,FHD,1,218,0.1804138474645021,0.18124524768323252,34376.62410974934,0.8527982394800351,185.91001620664764,34.54074130602924
ABBY,2025,all_shots,218,NA,FHD,2,218,0.1804138474645021,0.18124524768323252,28475.299667823896,0.7763623806838984,169.24699898908986,31.534502259442398
ABBY,2025,all_shots,218,NA,cover,0,218,0.34118160639609313,0.3427538718633562,47306,1,218,75.3775901943483
ABBY,2025,all_shots,218,NA,cover,1,218,0.34118160639609313,0.3427538718633562,33822.49036222649,0.8459155887236572,184.4095983417573,63.91716299709906
ABBY,2025,all_shots,218,NA,cover,2,218,0.34118160639609313,0.3427538718633562,29268.141692735837,0.7870645592695832,171.58007392076914,59.53996524584842
ABBY,2025,all_shots,218,NA,PAI,0,218,0.23767358049957232,0.23876885045579155,47306,1,218,52.81284054890676
ABBY,2025,all_shots,218,NA,PAI,1,218,0.23767358049957232,0.23876885045579155,35769.05164695011,0.8698520136122797,189.62773896747697,46.06950368243852
ABBY,2025,all_shots,218,NA,PAI,2,218,0.23767358049957232,0.23876885045579155,31171.09877431964,0.8121747517731982,177.0540958865572,43.081080911472654
ABBY,2025,all_shots,218,NA,FHD_cover_PAI,0,218,0.27531154660519597,0.2765802634098282,47306,1,218,61.01791715993272
ABBY,2025,all_shots,218,NA,FHD_cover_PAI,1,218,0.27531154660519597,0.2765802634098282,37613.336417797385,0.8919368093230537,194.44222443242572,54.532189533845745
ABBY,2025,all_shots,218,NA,FHD_cover_PAI,2,218,0.27531154660519597,0.2765802634098282,32800.629785592966,0.8330739983857907,181.61013164810237,50.99936622321231
BART,2024,all_shots,525,NA,FHD,0,525,0.07168411570190565,0.07182091744942837,275100,1,525,38.634160743500466
BART,2024,all_shots,525,NA,FHD,1,525,0.07168411570190565,0.07182091744942837,184830.2276026204,0.8198460045764926,430.4191524026586,31.85421632114834
BART,2024,all_shots,525,NA,FHD,2,525,0.07168411570190565,0.07182091744942837,134682.60692407333,0.6999840582691744,367.49163059131655,27.343312566789905
BART,2024,all_shots,525,NA,cover,0,525,0.2188636933066441,0.2192813721106644,275100,1,525,115.90343898598815
BART,2024,all_shots,525,NA,cover,1,525,0.2188636933066441,0.2192813721106644,192914.05821973152,0.8375621212055975,439.72011363293865,97.23876809092218
BART,2024,all_shots,525,NA,cover,2,525,0.2188636933066441,0.2192813721106644,157349.28313602557,0.7565201541560477,397.17308093192503,87.92676737473977
BART,2024,all_shots,525,NA,PAI,0,525,0.20868909358666063,0.2090873552156428,275100,1,525,110.56177413299683
BART,2024,all_shots,525,NA,PAI,1,525,0.20868909358666063,0.2090873552156428,210184.04329283323,0.8742068683166826,458.9586058662584,96.77965545202689
BART,2024,all_shots,525,NA,PAI,2,525,0.20868909358666063,0.2090873552156428,180549.86119528094,0.8103083550280619,425.4118863897325,89.77882097166473
