"siteID","Alpha_FD_qDTM","Beta_FD_qDTM","Alpha_PD_qDTM","Beta_PD_qDTM","Alpha_Richness_FD","Total_Richness_FD","Alpha_Dispersion_FD","Beta_Dispersion_FD","Alpha_Evenness_FD","Beta_Evenness_FD","Alpha_Richness_PD","Total_Richness_PD","Alpha_Dispersion_PD","Beta_Dispersion_PD","Alpha_Evenness_PD","Beta_Evenness_PD"
"BART",1.7359,2.4975,2.0442,3.6727,5.7143,120,0.2015,0.0884,0.639,0.807,6.619,139,0.3042,0.1602,0.5186,0.7945
"HARV",1.7148,2.0538,2.5324,3.0798,6.1364,135,0.1783,0.0574,0.6532,0.8341,9.0909,200,0.3468,0.1177,0.4861,0.803
"BLAN",2.1859,1.4288,1.5586,3.0325,7.2,72,0.2479,0.0446,0.6646,0.9607,5.85,117,0.1737,0.1144,0.5496,0.8881
"SCBI",1.6041,2.2621,1.9186,3.1522,7.1,142,0.1429,0.0688,0.5955,0.9175,9.28,232,0.1992,0.0932,0.4969,0.9235
"SERC",1.5847,1.7284,1.8122,2.4045,6,102,0.1524,0.05,0.6395,0.8576,8.7,174,0.1985,0.0778,0.4703,0.9023
"DSNY",NA,NA,1.493,8.7578,NA,NA,NA,NA,NA,NA,4.6389,167,0.1855,0.2774,0.5729,0.7768
"JERC",NA,NA,1.6137,7.6112,NA,NA,NA,NA,NA,NA,6.36,159,0.1948,0.3757,0.4953,0.7038
"OSBS",NA,NA,1.6639,5.987,NA,NA,NA,NA,NA,NA,4.7,141,0.2755,0.2177,0.5126,0.7638
"GUAN",NA,NA,6.6087,3.3706,NA,NA,NA,NA,NA,NA,16.7,334,0.6863,0.1259,0.4893,0.9418
"LAJA",NA,NA,3.3898,1.5171,NA,NA,NA,NA,NA,NA,8,24,0.6022,0.1773,0.496,0.9722
"STEI",1.5898,2.1264,1.8786,2.8737,5.3158,101,0.1831,0.0771,0.6059,0.7686,7.1,142,0.2546,0.1221,0.486,0.7675
"TREE",1.5993,4.105,1.8056,5.3428,4.6364,102,0.2037,0.1548,0.6347,0.9115,6.1304,141,0.2537,0.2349,0.518,0.8038
"UNDE",2.1099,2.0735,1.7952,3.4314,7,84,0.2769,0.0994,0.5727,0.8999,6.7222,121,0.2808,0.1793,0.4212,0.7533
"KONZ",NA,NA,2.0728,1.2423,NA,NA,NA,NA,NA,NA,8.3333,25,0.3061,0.0835,0.4206,0.9672
"UKFS",1.7746,1.8066,1.8791,2.3893,6.2353,106,0.1812,0.0559,0.6857,0.849,9,180,0.1972,0.0755,0.4954,0.9195
"GRSM",1.7557,1.7038,2.849,2.322,8.3,166,0.1502,0.0396,0.6062,0.8895,12.6,252,0.317,0.0739,0.4629,0.8947
"MLBS",1.6115,1.7129,2.3409,1.8327,6.45,129,0.1396,0.0413,0.6791,0.8635,10.6,212,0.2529,0.0502,0.5002,0.8298
"ORNL",1.7586,2.8737,2.5026,3.5956,7.8333,188,0.1803,0.0998,0.5372,0.7821,10.0769,262,0.3061,0.1301,0.4871,0.7671
"DELA",1.6483,2.2793,2.031,3.0145,7.45,149,0.1441,0.0722,0.6041,0.8864,10.5217,242,0.2105,0.1111,0.4655,0.7885
"LENO",1.7919,1.665,2.0726,1.8102,7.1429,150,0.1859,0.0344,0.5965,0.9204,11.5238,242,0.2033,0.0454,0.4578,0.8491
"TALL",2.18,3.5365,2.6832,3.6529,8.4286,177,0.2682,0.1474,0.5219,0.8194,11.9524,251,0.3317,0.1537,0.4246,0.822
"CPER",NA,NA,2.0028,6.5284,NA,NA,NA,NA,NA,NA,3.75,75,0.3534,0.3221,0.7568,0.8582
"RMNP",1.4533,2.2235,1.568,2.8687,4.1,82,0.1496,0.0702,0.7389,0.871,5,100,0.1933,0.1378,0.5876,0.6781
"CLBJ",1.4233,1.5952,1.7674,2.732,4.1875,67,0.1489,0.0435,0.6789,0.8552,6.0476,127,0.2435,0.1017,0.5211,0.8112
"YELL",NA,NA,1.339,7.8931,NA,NA,NA,NA,NA,NA,4.619,97,0.1194,0.4511,0.6144,0.7277
"MOAB",NA,NA,1.5498,4.7708,NA,NA,NA,NA,NA,NA,3.95,79,0.1928,0.2564,0.722,0.7352
"NIWO",1.3084,2.2985,1.1948,6.7178,3.0714,43,0.124,0.1325,0.8099,0.7,2.5,50,0.0905,0.3883,0.8613,0.7363
"JORN",NA,NA,1.0947,1.1698,NA,NA,NA,NA,NA,NA,1.95,39,0.0575,0.014,0.8445,0.6086
"SRER",NA,NA,1.5747,1.7039,NA,NA,NA,NA,NA,NA,5.65,113,0.1661,0.0447,0.6123,0.787
"ONAQ",1.229,4.7443,1.3895,5.9871,2.1667,39,0.1112,0.271,0.9505,0.7675,4.25,85,0.1406,0.3673,0.6516,0.6789
"ABBY",1.5429,1.7328,2.215,3.5111,4.9524,104,0.1835,0.0554,0.5974,0.6295,7.7273,170,0.2983,0.1263,0.527,0.9038
"WREF",1.3572,1.8238,1.6171,4.3468,3.7368,71,0.1232,0.0512,0.7759,0.8471,5.65,113,0.1883,0.2209,0.5799,0.7574
"SJER",NA,NA,1.6677,4.3997,NA,NA,NA,NA,NA,NA,5.3,106,0.2059,0.1826,0.6118,0.9308
