"siteID","Alpha_FD_qDTM","Beta_FD_qDTM","Alpha_PD_qDTM","Beta_PD_qDTM","Alpha_Richness_FD","Total_Richness_FD","Alpha_Dispersion_FD","Beta_Dispersion_FD","Alpha_Evenness_FD","Beta_Evenness_FD","Alpha_Richness_PD","Total_Richness_PD","Alpha_Dispersion_PD","Beta_Dispersion_PD","Alpha_Evenness_PD","Beta_Evenness_PD"
"ABBY",NA,NA,2.8433,2.6285,NA,NA,NA,NA,NA,NA,9.5455,210,0.3263,0.0787,0.5919,0.9401
"BART",NA,NA,2.4344,3.6195,NA,NA,NA,NA,NA,NA,7.8095,164,0.3124,0.1583,0.588,0.7879
"BLAN",NA,NA,1.4425,2.482,NA,NA,NA,NA,NA,NA,6.95,139,0.1302,0.0912,0.489,0.8123
"BONA",NA,NA,2.3868,2.963,NA,NA,NA,NA,NA,NA,6.3,126,0.3843,0.1194,0.5727,0.8217
"CLBJ",NA,NA,2.1218,2.9676,NA,NA,NA,NA,NA,NA,6.9048,145,0.2942,0.1039,0.5522,0.9019
"CPER",NA,NA,2.0382,6.4597,NA,NA,NA,NA,NA,NA,3.8,76,0.3612,0.3159,0.7564,0.8642
"DEJU",NA,NA,2.0245,3.1896,NA,NA,NA,NA,NA,NA,7.05,141,0.2995,0.1483,0.4851,0.7383
"DELA",NA,NA,3.5102,1.695,NA,NA,NA,NA,NA,NA,15.913,366,0.2709,0.0317,0.5823,0.9546
"DSNY",NA,NA,1.5787,5.8994,NA,NA,NA,NA,NA,NA,5.4167,195,0.1897,0.1604,0.5633,0.8484
"GRSM",NA,NA,3.9182,2.4445,NA,NA,NA,NA,NA,NA,15.6,312,0.362,0.0805,0.5167,0.8976
"GUAN",NA,NA,9.193,2.4448,NA,NA,NA,NA,NA,NA,22.5,450,0.7027,0.0781,0.5182,0.9246
"HARV",NA,NA,3.2028,3.0167,NA,NA,NA,NA,NA,NA,11.0909,244,0.4404,0.1064,0.451,0.8619
"HEAL",NA,NA,2.0862,3.4012,NA,NA,NA,NA,NA,NA,6.4286,135,0.2728,0.1459,0.6194,0.7835
"JERC",NA,NA,2.1811,3.2311,NA,NA,NA,NA,NA,NA,7.7308,201,0.3022,0.1023,0.5056,0.8392
"JORN",NA,NA,1.1709,1.5196,NA,NA,NA,NA,NA,NA,2.05,41,0.0988,0.0453,0.8437,0.5741
"KONZ",NA,NA,2.5242,1.2534,NA,NA,NA,NA,NA,NA,8.6667,26,0.2759,0.0848,0.6375,0.9957
"LAJA",NA,NA,4.8369,1.3885,NA,NA,NA,NA,NA,NA,10.3333,31,0.6356,0.1361,0.5842,0.9513
"LENO",NA,NA,3.3096,1.525,NA,NA,NA,NA,NA,NA,14.9524,314,0.2612,0.027,0.5914,0.9247
"MLBS",NA,NA,3.0985,2.3089,NA,NA,NA,NA,NA,NA,11.75,235,0.3007,0.0767,0.594,0.8535
"MOAB",NA,NA,1.4583,4.2313,NA,NA,NA,NA,NA,NA,3.95,79,0.1695,0.2298,0.6844,0.7031
"NIWO",NA,NA,1.321,6.1881,NA,NA,NA,NA,NA,NA,2.65,53,0.1435,0.3477,0.8443,0.746
"ONAQ",NA,NA,1.6713,3.0402,NA,NA,NA,NA,NA,NA,4.55,91,0.2504,0.1365,0.5892,0.7475
"ORNL",NA,NA,3.1335,2.5087,NA,NA,NA,NA,NA,NA,13.6154,354,0.3174,0.0697,0.4938,0.8323
"OSBS",NA,NA,1.932,3.5878,NA,NA,NA,NA,NA,NA,6.3,189,0.2895,0.1027,0.511,0.8403
"PUUM",NA,NA,2.6639,2.3044,NA,NA,NA,NA,NA,NA,9.2,184,0.3152,0.0742,0.5738,0.8789
"RMNP",NA,NA,1.8937,3.875,NA,NA,NA,NA,NA,NA,5.4,108,0.2852,0.1916,0.5803,0.7504
"SCBI",NA,NA,2.0295,3.2237,NA,NA,NA,NA,NA,NA,10.56,264,0.1962,0.1008,0.4968,0.8827
"SERC",NA,NA,2.3692,2.1799,NA,NA,NA,NA,NA,NA,11.2,224,0.232,0.0654,0.5269,0.9015
"SJER",NA,NA,1.9978,3.4035,NA,NA,NA,NA,NA,NA,5.5,110,0.2588,0.1285,0.7009,0.9351
"SOAP",NA,NA,2.5713,3.1081,NA,NA,NA,NA,NA,NA,5.5,99,0.4629,0.13,0.6171,0.9009
"SRER",NA,NA,2.1833,2.682,NA,NA,NA,NA,NA,NA,6.25,125,0.2767,0.0936,0.6842,0.8986
"STEI",NA,NA,2.709,2.4192,NA,NA,NA,NA,NA,NA,9.2381,194,0.3153,0.0951,0.5868,0.7104
"TALL",NA,NA,4.2209,2.0719,NA,NA,NA,NA,NA,NA,17.4286,366,0.3594,0.0561,0.5142,0.9093
"TEAK",NA,NA,2.3179,4.3767,NA,NA,NA,NA,NA,NA,5.05,101,0.3806,0.2022,0.6857,0.8351
