"siteID","n_plots","total_visible_stems","total_site_canopy_area","mean_canopy_height_site","max_canopy_height_site","canopy_height_sd_site","mean_base_crown_height_site","mean_elevation","avg_visible_canopy_per_plot","pct_visible_tree_cover","visible_stems_per_ha"
"ABBY",22,414,4954.20695,4.43404,62.6,4.469,0.50175,485.98889,225.19122,56.29781,470.45455
"BART",21,357,6173.02795,8.1022,28.4,6.75774,0.58593,431.81261,293.95371,73.48843,425
"BLAN",20,92,2555.2293,5.34376,38.1,5.35175,0,136.90109,127.76146,31.94037,115
"BONA",20,326,2842.40413,5.22001,33.2,3.83356,0.51,470.26871,142.12021,35.53005,407.5
"CLBJ",21,200,2737.78736,3.30008,12.6,2.17239,0.59937,296.3215,130.37083,32.59271,238.09524
"CPER",20,245,218.07631,0.63283,1.1,0.157,0,1630.00041,10.90382,2.72595,306.25
"DEJU",20,283,689.3372,2.19911,18,1.7682,0.19091,515.31378,34.46686,8.61671,353.75
"DELA",23,216,7208.89927,8.82156,35.6,6.97061,0.93191,24.58148,313.4304,78.3576,234.78261
"DSNY",41,181,1200.4919,2.16329,26.8,1.59168,0.50104,19.87017,29.28029,7.32007,110.36585
"GRSM",20,234,4102.19618,7.15753,44.1,7.11971,0.62559,816.97863,205.10981,51.27745,292.5
"GUAN",20,108,2035.85352,3.53819,50,1.61456,0.41636,128.51111,101.79268,25.44817,135
"HARV",22,263,6510.4221,6.99109,37.5,6.91568,0.59478,211.15437,295.92828,73.98207,298.86364
"HEAL",21,65,284.57258,2.96421,13.6,2.45773,0.24286,637.20462,13.55108,3.38777,77.38095
"JERC",32,40,1710.18371,4.2013,30.6,5.58571,0.69786,39.8125,53.44324,13.36081,31.25
"JORN",20,64,123.12625,0.92172,1.9,0.25592,0.22156,1325.26875,6.15631,1.53908,80
"KONZ",3,54,473.44193,2.55249,11.7,1.35065,0,383.27222,157.81398,39.45349,450
"LAJA",3,6,286.9841,3.76675,11.3,1.51563,0,27.58333,95.66137,23.91534,50
"LENO",21,176,7469.5625,8.13021,41,6.98608,1.52836,13.13977,355.69345,88.92336,209.52381
"MLBS",20,175,3292.0139,9.06726,39.3,6.83128,0.95452,1042.34,164.60069,41.15017,218.75
"MOAB",20,212,540.28467,0.8935,5.5,0.37937,0.17776,1841.0033,27.01423,6.75356,265
"NIWO",20,542,2771.67612,6.38701,38,4.30784,0.12632,3195.77196,138.58381,34.64595,677.5
"ONAQ",20,753,1221.75019,0.68196,42.2,0.47985,0.06702,1678.75857,61.08751,15.27188,941.25
"ORNL",26,327,4242.36236,7.08753,35.8,4.25805,0.91121,270.54434,163.16778,40.79195,314.42308
"OSBS",33,193,3514.01574,4.88361,31.3,5.07363,0.81606,34.14767,106.48533,26.62133,146.21212
"PUUM",20,308,4538.2386,6.62082,24.2,4.74287,1.36156,1582.24578,226.91193,56.72798,385
"RMNP",20,714,3312.49532,6.18318,19.7,3.79863,0.49587,2777.05798,165.62477,41.40619,892.5
"SCBI",25,142,5715.18387,4.53606,46.3,6.11593,0.35779,396.38099,228.60735,57.15184,142
"SERC",20,137,4247.2049,7.31206,41,8.54657,0.61957,14.87153,212.36024,53.09006,171.25
"SJER",20,84,843.2753,2.72067,23.5,1.0915,0.51488,402.38452,42.16377,10.54094,105
"SOAP",18,151,3310.90076,6.718,57.9,7.4068,0.31235,1201.10265,183.93893,45.98473,209.72222
"SRER",20,201,1367.20352,1.81371,7.4,0.74676,0.56947,1083.6597,68.36018,17.09004,251.25
"STEI",21,336,5881.97631,7.95118,28.7,6.24603,0.59803,506.53095,280.09411,70.02353,400
"TALL",21,224,6540.70148,7.49678,85.6,7.55649,1.11081,111.38304,311.46198,77.86549,266.66667
"TEAK",20,167,2099.33174,6.93518,49.3,8.65816,0.36284,2252.03772,104.96659,26.24165,208.75
"TREE",24,286,4744.26875,6.66024,29.1,5.52823,0.58541,456.11608,197.67786,49.41947,297.91667
"UKFS",20,182,4682.12964,4.53788,31.6,4.11536,0.4541,311.13791,234.10648,58.52662,227.5
"UNDE",20,236,3257.77369,6.97025,33,5.63965,0.53061,511.04322,162.88868,40.72217,295
"WOOD",12,0,NA,0,0,0,0,0,0,0,0
"WREF",20,271,4580.71724,9.33049,66,10.38379,0.52943,594.06125,229.03586,57.25897,338.75
"YELL",21,435,1594.29612,2.13901,26.3,1.8391,0.12118,2036.04828,75.91886,18.97972,517.85714
