"Spectral_Metric","Plant_Metric","Correlation","p_val","R_squared","Significance"
"Beta_avg_pairwise","FD_Beta_Dispersion_m1_Layered",-0.200267667270157,0.337133084547532,0.0401071385538303,"ns"
"Beta_agg_avg_pairwise","FD_Beta_Dispersion_m1_Layered",-0.19300309328749,0.355308015930979,0.0372501940185396,"ns"
"beta_agg_dispersion","FD_FDis_m1_Layered",0.18036270380296,0.388274205372027,0.0325307049231143,"ns"
"Beta_avg_pairwise","FD_Beta_Dispersion_m2_Layered",-0.177932957536551,0.394803911054368,0.0316601373777041,"ns"
"Beta_dispersion","FD_Beta_Dispersion_m1_Layered",-0.172164240176306,0.41055254735098,0.0296405255954848,"ns"
"Beta_agg_avg_pairwise","FD_Beta_Dispersion_m2_Layered",-0.165816865652925,0.428276074044058,0.0274952329349603,"ns"
"Beta_avg_pairwise","FD_Beta_Turnover_m1_Layered",-0.161568736955194,0.440365984823876,0.0261044567612966,"ns"
"beta_agg_sum_squares","FD_Beta_Turnover_m2_Layered",0.158909804139763,0.448025012576305,0.0252523258517379,"ns"
"Beta_agg_avg_pairwise","FD_Beta_Turnover_m1_Layered",-0.151549813134722,0.469588754008609,0.0229673458611692,"ns"
"Beta_dispersion","FD_Beta_Dispersion_m2_Layered",-0.133597886418693,0.524349677864336,0.017848395255542,"ns"
"beta_agg_dispersion","FD_FDis_m2_Layered",0.131992717547336,0.529390160067824,0.0174220774855307,"ns"
"beta_agg_dispersion","FD_RaoQ_m1_Layered",0.127308999419087,0.544227846482375,0.0162075813330891,"ns"
"beta_agg_sum_squares","FD_RaoQ_m1_Layered",0.125931549979752,0.548627890804867,0.0158587552803027,"ns"
"Beta_avg_pairwise","FD_Beta_Turnover_m2_Layered",-0.123983735612939,0.554877696296911,0.0153719666965392,"ns"
"Beta_dispersion","FD_Beta_Turnover_m1_Layered",-0.122512812063224,0.559618745598102,0.0150093891196389,"ns"
"Beta_agg_avg_pairwise","FD_FDis_m1_Layered",0.117918164661764,0.57454493614684,0.0139046935571988,"ns"
"beta_agg_sum_squares","FD_RaoQ_m2_Layered",0.112149121698002,0.593530949377884,0.0125774254976333,"ns"
"beta_agg_sum_squares","FD_Beta_Turnover_m1_Layered",0.10957908379151,0.602074290982694,0.0120075756045868,"ns"
"beta_agg_dispersion","FD_Beta_Dispersion_m1_Layered",-0.108781713493069,0.604735385006939,0.0118334611904882,"ns"
"Beta_agg_avg_pairwise","FD_Beta_Turnover_m2_Layered",-0.106162593532599,0.613510673503938,0.0112704962655678,"ns"
"beta_agg_sum_squares","FD_FDis_m1_Layered",0.101975799603614,0.627645943968781,0.0103990637047964,"ns"
"beta_agg_dispersion","FD_RaoQ_m2_Layered",0.100303849836981,0.633326889546374,0.0100608622921197,"ns"
"beta_agg_sum_squares","FD_Beta_Dispersion_m2_Layered",0.0994302499865771,0.636303274656645,0.00988637461239322,"ns"
"sum_squares","FD_Beta_Turnover_m2_Layered",0.0976225994617893,0.642479386720789,0.00953017192567693,"ns"
"sum_squares","FD_FDis_m2_Layered",-0.089325147379087,0.671120466031107,0.00797898195429561,"ns"
"beta_agg_dispersion","FD_Beta_Dispersion_m2_Layered",-0.0890840988020739,0.671959457426105,0.00793597665937766,"ns"
"Beta_agg_avg_pairwise","FD_RaoQ_m1_Layered",0.0711494165966416,0.735391174074668,0.00506223948204246,"ns"
