"Spectral_Metric","Plant_Metric","Correlation","p_val","Structural_Group","R_squared","Significance"
"sum_squares","FD_FDis_m1_Layered",0.0755455715443397,0.78096101543036,"Closed / Dense Canopy",0.00570713337996095,"ns"
"Beta_dispersion","FD_FDis_m1_Layered",0.0480141214792102,0.85983994266315,"Closed / Dense Canopy",0.00230535586142035,"ns"
"Beta_avg_pairwise","FD_FDis_m1_Layered",0.0617944537956114,0.82015661710162,"Closed / Dense Canopy",0.00381855451989796,"ns"
"beta_agg_sum_squares","FD_FDis_m1_Layered",0.0809767418376225,0.765610115215605,"Closed / Dense Canopy",0.00655723271863696,"ns"
"beta_agg_dispersion","FD_FDis_m1_Layered",0.193540875964867,0.472633960632009,"Closed / Dense Canopy",0.0374580706692479,"ns"
"Beta_agg_avg_pairwise","FD_FDis_m1_Layered",0.105213853243245,0.698167112795563,"Closed / Dense Canopy",0.0110699549142911,"ns"
"sum_squares","FD_RaoQ_m1_Layered",0.106997827271665,0.693279013773937,"Closed / Dense Canopy",0.0114485350408571,"ns"
"Beta_dispersion","FD_RaoQ_m1_Layered",0.00542362961243184,0.984095506279192,"Closed / Dense Canopy",2.94157581728475e-05,"ns"
"Beta_avg_pairwise","FD_RaoQ_m1_Layered",0.0393106277923073,0.885072452180681,"Closed / Dense Canopy",0.00154532545742532,"ns"
"beta_agg_sum_squares","FD_RaoQ_m1_Layered",0.104408859361326,0.700376460101349,"Closed / Dense Canopy",0.0109012099131332,"ns"
"beta_agg_dispersion","FD_RaoQ_m1_Layered",0.141896200278536,0.600133316550843,"Closed / Dense Canopy",0.0201345316534863,"ns"
"Beta_agg_avg_pairwise","FD_RaoQ_m1_Layered",0.0492872734875366,0.856158988448681,"Closed / Dense Canopy",0.00242923532783523,"ns"
"sum_squares","FD_Beta_Dispersion_m1_Layered",0.213789382728516,0.426586661196348,"Closed / Dense Canopy",0.04570590016744,"ns"
"Beta_dispersion","FD_Beta_Dispersion_m1_Layered",-0.0341413473302377,0.900109504590311,"Closed / Dense Canopy",0.00116563159752393,"ns"
"Beta_avg_pairwise","FD_Beta_Dispersion_m1_Layered",-0.0882689262344381,0.745127984472631,"Closed / Dense Canopy",0.00779140333858068,"ns"
"beta_agg_sum_squares","FD_Beta_Dispersion_m1_Layered",0.191961397493603,0.476324691935136,"Closed / Dense Canopy",0.0368491781276971,"ns"
"beta_agg_dispersion","FD_Beta_Dispersion_m1_Layered",0.0120224986581665,0.964752803827509,"Closed / Dense Canopy",0.000144540473985616,"ns"
"Beta_agg_avg_pairwise","FD_Beta_Dispersion_m1_Layered",-0.127959100421094,0.636736296137953,"Closed / Dense Canopy",0.0163735313805756,"ns"
"sum_squares","FD_Beta_Turnover_m1_Layered",0.241990754467259,0.366541918560751,"Closed / Dense Canopy",0.0585595252476332,"ns"
"Beta_dispersion","FD_Beta_Turnover_m1_Layered",-0.0123455390578799,0.963806293545124,"Closed / Dense Canopy",0.000152412334629639,"ns"
"Beta_avg_pairwise","FD_Beta_Turnover_m1_Layered",-0.0801119233303511,0.768049164080521,"Closed / Dense Canopy",0.00641792025968805,"ns"
"beta_agg_sum_squares","FD_Beta_Turnover_m1_Layered",0.227964590466767,0.395795213832286,"Closed / Dense Canopy",0.0519678545066809,"ns"
"beta_agg_dispersion","FD_Beta_Turnover_m1_Layered",0.0421256495579132,0.87689888611553,"Closed / Dense Canopy",0.00177457035067611,"ns"
"Beta_agg_avg_pairwise","FD_Beta_Turnover_m1_Layered",-0.108790257834384,0.68837913773412,"Closed / Dense Canopy",0.0118353201996718,"ns"
