"Spectral_Metric","Plant_Metric","Correlation","p_val","R_squared","Significance"
"Beta_avg_pairwise","PD_Beta_Dispersion_Layered",0.360422724619009,0.036263787662213,0.12990454042179,"*"
"Beta_dispersion","PD_Beta_Dispersion_Layered",0.298890208794603,0.0859560459323935,0.0893353569132817,"ns"
"Beta_agg_avg_pairwise","PD_Beta_Dispersion_Layered",0.281636919809626,0.106605354550016,0.0793193545998536,"ns"
"sum_squares","PD_Beta_Dispersion_Layered",0.254632468109622,0.146142375679117,0.0648376938155975,"ns"
"Beta_avg_pairwise","PD_Beta_Sorensen_Layered",-0.249149082714888,0.155329060492468,0.0620752654176702,"ns"
"beta_agg_sum_squares","PD_Faith_Layered",0.232344973164807,0.186068918523479,0.0539841865549549,"ns"
"beta_agg_dispersion","PD_Faith_Layered",0.230132630716711,0.190413849586518,0.0529610277205943,"ns"
"beta_agg_sum_squares","PD_Beta_Dispersion_Layered",0.209451010381982,0.234495021026168,0.0438697257500331,"ns"
"beta_agg_dispersion","PD_Beta_Dispersion_Layered",0.202620368363055,0.250454095258668,0.04105501367558,"ns"
"Beta_agg_avg_pairwise","PD_Beta_Sorensen_Layered",-0.192893474243899,0.274399619133059,0.0372078924058818,"ns"
"Beta_dispersion","PD_Beta_Sorensen_Layered",-0.173461897969704,0.326553689322369,0.0300890300472519,"ns"
"Beta_agg_avg_pairwise","PD_Faith_Layered",0.171877801013012,0.331058986080065,0.0295419784810684,"ns"
"Beta_dispersion","PD_Faith_Layered",0.147872989659546,0.403947865440401,0.0218664210708521,"ns"
"beta_agg_dispersion","PD_Beta_Sorensen_Layered",-0.101232324116661,0.56890254525774,0.0102479834460606,"ns"
"sum_squares","PD_Faith_Layered",0.100225252276841,0.572772875004097,0.0100451011939565,"ns"
"Beta_avg_pairwise","PD_Faith_Layered",0.0826052744657746,0.642328152508904,0.00682363136956596,"ns"
"beta_agg_sum_squares","PD_Beta_Sorensen_Layered",-0.0349501851581243,0.844430241639583,0.00122151544258717,"ns"
"sum_squares","PD_Beta_Sorensen_Layered",-0.0141093215398443,0.936875685888585,0.000199072954314715,"ns"
