"Spectral_Metric","Plant_Metric","Correlation","p_val","Structural_Group","R_squared","Significance"
"sum_squares","PD_Faith_Layered",0.288562264438009,0.278414970342739,"Closed / Dense Canopy",0.0832681804575914,"ns"
"Beta_dispersion","PD_Faith_Layered",0.120960716470891,0.655424351723009,"Closed / Dense Canopy",0.0146314949291512,"ns"
"Beta_avg_pairwise","PD_Faith_Layered",0.0510678179938807,0.851015728205279,"Closed / Dense Canopy",0.00260792203465613,"ns"
"beta_agg_sum_squares","PD_Faith_Layered",0.383593437784476,0.142454632242053,"Closed / Dense Canopy",0.147143925511313,"ns"
"beta_agg_dispersion","PD_Faith_Layered",0.270408563717032,0.311094619807924,"Closed / Dense Canopy",0.0731207913315084,"ns"
"Beta_agg_avg_pairwise","PD_Faith_Layered",0.143530943680372,0.595896062510008,"Closed / Dense Canopy",0.020601131793778,"ns"
"sum_squares","PD_Beta_Sorensen_Layered",-0.472090293728469,0.0648438480933003,"Closed / Dense Canopy",0.222869245432632,"ns"
"Beta_dispersion","PD_Beta_Sorensen_Layered",-0.587317529958054,0.0167513246853314,"Closed / Dense Canopy",0.34494188099603,"*"
"Beta_avg_pairwise","PD_Beta_Sorensen_Layered",-0.587641475255176,0.0166763958195647,"Closed / Dense Canopy",0.345322503440079,"*"
"beta_agg_sum_squares","PD_Beta_Sorensen_Layered",-0.414946923628076,0.110001750550293,"Closed / Dense Canopy",0.172180949428404,"ns"
"beta_agg_dispersion","PD_Beta_Sorensen_Layered",-0.468515770018093,0.0671831493395287,"Closed / Dense Canopy",0.219507026755647,"ns"
"Beta_agg_avg_pairwise","PD_Beta_Sorensen_Layered",-0.54069133149496,0.0305784884787603,"Closed / Dense Canopy",0.292347115953793,"*"
"sum_squares","PD_Beta_Dispersion_Layered",0.477259139282737,0.0615673459969348,"Closed / Dense Canopy",0.227776286028899,"ns"
"Beta_dispersion","PD_Beta_Dispersion_Layered",0.497356652948317,0.0499746127868719,"Closed / Dense Canopy",0.247363640231952,"*"
"Beta_avg_pairwise","PD_Beta_Dispersion_Layered",0.567211663765556,0.0219386456922938,"Closed / Dense Canopy",0.321729071511691,"*"
"beta_agg_sum_squares","PD_Beta_Dispersion_Layered",0.398445454433889,0.126359073237002,"Closed / Dense Canopy",0.158758780159029,"ns"
"beta_agg_dispersion","PD_Beta_Dispersion_Layered",0.37045884821428,0.157806902733963,"Closed / Dense Canopy",0.137239758220251,"ns"
"Beta_agg_avg_pairwise","PD_Beta_Dispersion_Layered",0.457082925956577,0.0750790142532626,"Closed / Dense Canopy",0.208924801201026,"ns"
"sum_squares","PD_Faith_Layered",0.0998931079910445,0.723182777016472,"Open / Sparse Cover",0.00997863302411047,"ns"
"Beta_dispersion","PD_Faith_Layered",0.307662411395335,0.264623319360988,"Open / Sparse Cover",0.0946561593855924,"ns"
"Beta_avg_pairwise","PD_Faith_Layered",0.399581073804135,0.140048776380314,"Open / Sparse Cover",0.159665034542465,"ns"
"beta_agg_sum_squares","PD_Faith_Layered",0.157767564065578,0.574416997751944,"Open / Sparse Cover",0.0248906042711862,"ns"
"beta_agg_dispersion","PD_Faith_Layered",0.417709780993217,0.121317337385208,"Open / Sparse Cover",0.174481461137401,"ns"
"Beta_agg_avg_pairwise","PD_Faith_Layered",0.500355731492582,0.0574927968806872,"Open / Sparse Cover",0.250355858037477,"ns"
"sum_squares","PD_Beta_Sorensen_Layered",0.306167850840039,0.267071071873852,"Open / Sparse Cover",0.0937387528880081,"ns"
"Beta_dispersion","PD_Beta_Sorensen_Layered",0.000432050836792608,0.998780721820302,"Open / Sparse Cover",1.86667925573193e-07,"ns"
"Beta_avg_pairwise","PD_Beta_Sorensen_Layered",-0.117833440525742,0.67577346686602,"Open / Sparse Cover",0.0138847197061336,"ns"
