"Spectral_Metric","Plant_Metric","Correlation","p_val","R_squared","Significance"
"beta_agg_dispersion","TD_Richness_Layered",0.400933279119701,0.0187771832134008,0.160747494305676,"*"
"Beta_agg_avg_pairwise","TD_Richness_Layered",0.397266541343703,0.0199939430471143,0.157820704871188,"*"
"Beta_dispersion","TD_Richness_Layered",0.372861579375201,0.0298695706260001,0.139025757374169,"*"
"Beta_avg_pairwise","TD_Beta_Dispersion_Layered",0.349201396103431,0.0429454333320554,0.121941615040586,"*"
"Beta_avg_pairwise","TD_Richness_Layered",0.341295006102973,0.0482225312564351,0.116482281190828,"*"
"beta_agg_sum_squares","TD_Richness_Layered",0.335976635610403,0.0520551311816096,0.112880299676085,"ns"
"Beta_avg_pairwise","TD_Simpson_Eff_Layered",-0.315222820579299,0.0693843491129841,0.0993654266139687,"ns"
"Beta_avg_pairwise","TD_Beta_Bray_Layered",0.308174210416401,0.0761995286025696,0.0949713439657724,"ns"
"beta_agg_dispersion","TD_Shannon_Eff_Layered",0.302113801308132,0.0824651544350715,0.0912727489408493,"ns"
"Beta_agg_avg_pairwise","TD_Simpson_Eff_Layered",-0.292957319509758,0.0926766970995677,0.0858239910543421,"ns"
"Beta_agg_avg_pairwise","TD_Beta_Dispersion_Layered",0.288126189370997,0.0984400712198308,0.0830167010014514,"ns"
"sum_squares","TD_Richness_Layered",0.275323702878184,0.115029747320738,0.0758031413665548,"ns"
"Beta_agg_avg_pairwise","TD_Shannon_Eff_Layered",0.273827440800937,0.117097499716657,0.0749814673355909,"ns"
"Beta_dispersion","TD_Beta_Dispersion_Layered",0.264315767020867,0.130896791191068,0.069862824695829,"ns"
"Beta_dispersion","TD_Simpson_Eff_Layered",-0.249199347357074,0.155242997167222,0.0621003147231917,"ns"
"Beta_agg_avg_pairwise","TD_Beta_Bray_Layered",0.243328177298582,0.165530355473755,0.0592086018674501,"ns"
"Beta_dispersion","TD_Shannon_Eff_Layered",0.231617659840379,0.187489555134447,0.0536467403499337,"ns"
"sum_squares","TD_Beta_Dispersion_Layered",0.226112361621911,0.198490547254408,0.0511268000782378,"ns"
"beta_agg_sum_squares","TD_Shannon_Eff_Layered",0.226089051272188,0.198538062213442,0.0511162591051582,"ns"
"beta_agg_dispersion","TD_Simpson_Eff_Layered",-0.216982956968464,0.217709202030972,0.0470816036147784,"ns"
"beta_agg_dispersion","TD_Beta_Dispersion_Layered",0.21386097555849,0.224564137787753,0.045736516866829,"ns"
"Beta_dispersion","TD_Beta_Bray_Layered",0.207127514781076,0.239844692658535,0.0429018073793848,"ns"
"Beta_avg_pairwise","TD_Shannon_Eff_Layered",0.198763202744526,0.259777610215681,0.0395068107652615,"ns"
"beta_agg_sum_squares","TD_Beta_Dispersion_Layered",0.197645663287377,0.262521105616844,0.0390638082163072,"ns"
"beta_agg_dispersion","TD_Beta_Bray_Layered",0.159450990040156,0.367717841559927,0.0254246182247859,"ns"
"sum_squares","TD_Beta_Bray_Layered",0.159228996269314,0.368393817951774,0.0253538732529333,"ns"
"beta_agg_sum_squares","TD_Beta_Bray_Layered",0.138545911151874,0.434557310990441,0.019194969496903,"ns"
"sum_squares","TD_Simpson_Eff_Layered",-0.130623391296585,0.46152797868878,0.0170624703538208,"ns"
"beta_agg_sum_squares","TD_Simpson_Eff_Layered",-0.130471939298984,0.462052082729546,0.0170229269444377,"ns"
"sum_squares","TD_Shannon_Eff_Layered",0.0826662308384213,0.642081829818485,0.00683370572103116,"ns"
