"Spectral_Metric","Plant_Metric","Correlation","p_val","Structural_Group","R_squared","Significance"
"sum_squares","TD_Richness_Layered",0.212501553577002,0.429443971540253,"Closed / Dense Canopy",0.0451569102726393,"ns"
"Beta_dispersion","TD_Richness_Layered",0.273703036376934,0.305003932721173,"Closed / Dense Canopy",0.0749133521219531,"ns"
"Beta_avg_pairwise","TD_Richness_Layered",0.0643891481368419,0.812727332073981,"Closed / Dense Canopy",0.00414596239778818,"ns"
"beta_agg_sum_squares","TD_Richness_Layered",0.262413322961821,0.326169309728618,"Closed / Dense Canopy",0.0688607520678647,"ns"
"beta_agg_dispersion","TD_Richness_Layered",0.293333945543337,0.270184072348192,"Closed / Dense Canopy",0.0860448036080215,"ns"
"Beta_agg_avg_pairwise","TD_Richness_Layered",0.18258506445835,0.498519288214901,"Closed / Dense Canopy",0.0333373057632599,"ns"
"sum_squares","TD_Shannon_Eff_Layered",0.223986160432686,0.404314134519706,"Closed / Dense Canopy",0.0501698000653771,"ns"
"Beta_dispersion","TD_Shannon_Eff_Layered",0.165775665645617,0.539491007621856,"Closed / Dense Canopy",0.0274815713202473,"ns"
"Beta_avg_pairwise","TD_Shannon_Eff_Layered",-0.018490048340393,0.945812823998388,"Closed / Dense Canopy",0.000341881887630068,"ns"
"beta_agg_sum_squares","TD_Shannon_Eff_Layered",0.336806896831512,0.202092964643712,"Closed / Dense Canopy",0.113438885753273,"ns"
"beta_agg_dispersion","TD_Shannon_Eff_Layered",0.259478879776029,0.331805898535737,"Closed / Dense Canopy",0.067329289049823,"ns"
"Beta_agg_avg_pairwise","TD_Shannon_Eff_Layered",0.10986191897802,0.685455117404209,"Closed / Dense Canopy",0.012069641241533,"ns"
"sum_squares","TD_Simpson_Eff_Layered",-0.0119531946822358,0.964955870675342,"Closed / Dense Canopy",0.000142878863111431,"ns"
"Beta_dispersion","TD_Simpson_Eff_Layered",-0.043716999336209,0.872283419571015,"Closed / Dense Canopy",0.0019111760309621,"ns"
"Beta_avg_pairwise","TD_Simpson_Eff_Layered",0.12778269461969,0.637204903655008,"Closed / Dense Canopy",0.0163284170442689,"ns"
"beta_agg_sum_squares","TD_Simpson_Eff_Layered",-0.138091232830938,0.610042280470479,"Closed / Dense Canopy",0.0190691885847683,"ns"
"beta_agg_dispersion","TD_Simpson_Eff_Layered",-0.14662536762507,0.58790871124296,"Closed / Dense Canopy",0.021498998431187,"ns"
"Beta_agg_avg_pairwise","TD_Simpson_Eff_Layered",-0.00745833466827606,0.978129992744471,"Closed / Dense Canopy",5.56267560240085e-05,"ns"
"sum_squares","TD_Beta_Bray_Layered",0.315832377148434,0.233395564868691,"Closed / Dense Canopy",0.0997500904552305,"ns"
"Beta_dispersion","TD_Beta_Bray_Layered",0.320702521103347,0.225870621098496,"Closed / Dense Canopy",0.102850107042043,"ns"
"Beta_avg_pairwise","TD_Beta_Bray_Layered",0.285503444621186,0.283770025514025,"Closed / Dense Canopy",0.0815122168905628,"ns"
"beta_agg_sum_squares","TD_Beta_Bray_Layered",0.305733125175733,0.249497104723507,"Closed / Dense Canopy",0.0934727438297201,"ns"
"beta_agg_dispersion","TD_Beta_Bray_Layered",0.291303403667758,0.273668339084261,"Closed / Dense Canopy",0.084857672988421,"ns"
"Beta_agg_avg_pairwise","TD_Beta_Bray_Layered",0.270255733234893,0.311378882826773,"Closed / Dense Canopy",0.0730381613463296,"ns"
"sum_squares","TD_Beta_Dispersion_Layered",0.306728481014877,0.247880352903659,"Closed / Dense Canopy",0.0940823610656941,"ns"
"Beta_dispersion","TD_Beta_Dispersion_Layered",0.306682209873478,0.247955366278498,"Closed / Dense Canopy",0.0940539778528801,"ns"
"Beta_avg_pairwise","TD_Beta_Dispersion_Layered",0.265671492878901,0.319976109941859,"Closed / Dense Canopy",0.0705813421285038,"ns"
"beta_agg_sum_squares","TD_Beta_Dispersion_Layered",0.298642303061611,0.26120355582894,"Closed / Dense Canopy",0.0891872251779432,"ns"
"beta_agg_dispersion","TD_Beta_Dispersion_Layered",0.279682555970126,0.294130280921272,"Closed / Dense Canopy",0.0782223321139826,"ns"
"Beta_agg_avg_pairwise","TD_Beta_Dispersion_Layered",0.253336668861613,0.343783510419369,"Closed / Dense Canopy",0.0641794677898987,"ns"
"sum_squares","TD_Richness_Layered",0.404113222215764,0.135193696061497,"Open / Sparse Cover",0.163307496369607,"ns"
"Beta_dispersion","TD_Richness_Layered",0.652850751492972,0.00832575515918204,"Open / Sparse Cover",0.426214103724938,"**"
"Beta_avg_pairwise","TD_Richness_Layered",0.652106667415774,0.00842514369424378,"Open / Sparse Cover",0.425243105688106,"**"
"beta_agg_sum_squares","TD_Richness_Layered",0.514343165078008,0.0498093104096613,"Open / Sparse Cover",0.264548891462463,"*"
"beta_agg_dispersion","TD_Richness_Layered",0.702695717564783,0.00348239817283061,"Open / Sparse Cover",0.493781271483886,"**"
"Beta_agg_avg_pairwise","TD_Richness_Layered",0.72024328791856,0.00245818653104634,"Open / Sparse Cover",0.518750393791737,"**"
"sum_squares","TD_Shannon_Eff_Layered",0.0343396938776279,0.903300083131282,"Open / Sparse Cover",0.00117921457560919,"ns"
"Beta_dispersion","TD_Shannon_Eff_Layered",0.487292551229548,0.0654179458234179,"Open / Sparse Cover",0.237454030483802,"ns"
"Beta_avg_pairwise","TD_Shannon_Eff_Layered",0.535174509998626,0.0398045339882442,"Open / Sparse Cover",0.286411756152269,"*"
"beta_agg_sum_squares","TD_Shannon_Eff_Layered",0.150899420065225,0.591392293014278,"Open / Sparse Cover",0.0227706349760213,"ns"
"beta_agg_dispersion","TD_Shannon_Eff_Layered",0.559979995189684,0.0299372661596231,"Open / Sparse Cover",0.313577595012638,"*"
