"term","estimate","std.error","statistic","p.value","Spectral_Metric","Plant_Metric","Model_R2","Model_Adj_R2","Model_P_Value"
"(Intercept)",679.950111865746,33.7759533740772,20.1311893208498,1.37511073929244e-18,"sum_squares","PD_Faith_TopDown",0.60890212808417,0.554957594026814,1.20407065949902e-05
"sum_squares",0.277354331984263,0.139056836616114,1.99453934616633,0.0555686064074754,"sum_squares","PD_Faith_TopDown",0.60890212808417,0.554957594026814,1.20407065949902e-05
"scaled_tree_cover",136.820660224984,47.7285972164513,2.86663904251147,0.00764822516441483,"sum_squares","PD_Faith_TopDown",0.60890212808417,0.554957594026814,1.20407065949902e-05
"scaled_canopy_height",24.1158041574577,45.4583826954372,0.530502906780233,0.599802540330599,"sum_squares","PD_Faith_TopDown",0.60890212808417,0.554957594026814,1.20407065949902e-05
"sum_squares:scaled_tree_cover",0.145940963151574,0.207719465721535,0.70258684059596,0.487915084962569,"sum_squares","PD_Faith_TopDown",0.60890212808417,0.554957594026814,1.20407065949902e-05
"(Intercept)",742.640876468362,43.1565146426557,17.2080827800292,9.24906771937397e-17,"Beta_dispersion","PD_Faith_TopDown",0.608326544162564,0.554302619219469,1.22897773819958e-05
"Beta_dispersion",-733.362831446332,2210.22157672725,-0.331805118169305,0.742422576553243,"Beta_dispersion","PD_Faith_TopDown",0.608326544162564,0.554302619219469,1.22897773819958e-05
"scaled_tree_cover",188.573897340217,57.2426770237108,3.29428858231258,0.0026050235371333,"Beta_dispersion","PD_Faith_TopDown",0.608326544162564,0.554302619219469,1.22897773819958e-05
"scaled_canopy_height",43.6032851250908,48.156318686985,0.905453039475696,0.372687000995883,"Beta_dispersion","PD_Faith_TopDown",0.608326544162564,0.554302619219469,1.22897773819958e-05
"Beta_dispersion:scaled_tree_cover",-4642.35423683867,2374.02168530214,-1.95548097373332,0.0602231933497932,"Beta_dispersion","PD_Faith_TopDown",0.608326544162564,0.554302619219469,1.22897773819958e-05
"(Intercept)",0.407131485044206,0.0201538652445597,20.2011614200956,1.25156327936614e-18,"Beta_dispersion","PD_Beta_Dispersion_TopDown",0.276783462112215,0.177029456886314,0.0456583238739434
"Beta_dispersion",2.28164845100067,1.03216184594183,2.21055298640564,0.0351108906367062,"Beta_dispersion","PD_Beta_Dispersion_TopDown",0.276783462112215,0.177029456886314,0.0456583238739434
"scaled_tree_cover",-0.0324379290134109,0.0267320289538268,-1.21344807270109,0.234749643238724,"Beta_dispersion","PD_Beta_Dispersion_TopDown",0.276783462112215,0.177029456886314,0.0456583238739434
"scaled_canopy_height",-0.0101649344839761,0.0224887474238315,-0.452000918166044,0.654631100373146,"Beta_dispersion","PD_Beta_Dispersion_TopDown",0.276783462112215,0.177029456886314,0.0456583238739434
"Beta_dispersion:scaled_tree_cover",0.612887073942675,1.10865563471503,0.552820059495041,0.584623187043677,"Beta_dispersion","PD_Beta_Dispersion_TopDown",0.276783462112215,0.177029456886314,0.0456583238739434
"(Intercept)",777.187689327725,60.7954311144056,12.7836529009097,1.91911410124234e-13,"Beta_avg_pairwise","PD_Faith_TopDown",0.611297555217925,0.557683424903156,1.10533862190932e-05
"Beta_avg_pairwise",-434.756086144331,466.240300040272,-0.932472131016514,0.358791525084948,"Beta_avg_pairwise","PD_Faith_TopDown",0.611297555217925,0.557683424903156,1.10533862190932e-05
"scaled_tree_cover",224.545236019269,70.3345810874715,3.19252965678453,0.00338234904468579,"Beta_avg_pairwise","PD_Faith_TopDown",0.611297555217925,0.557683424903156,1.10533862190932e-05
"scaled_canopy_height",48.0986143566704,46.9267301362015,1.02497263749397,0.313850335848485,"Beta_avg_pairwise","PD_Faith_TopDown",0.611297555217925,0.557683424903156,1.10533862190932e-05
"Beta_avg_pairwise:scaled_tree_cover",-1008.50192252008,508.427347958068,-1.98357135305643,0.0568427395077505,"Beta_avg_pairwise","PD_Faith_TopDown",0.611297555217925,0.557683424903156,1.10533862190932e-05
"(Intercept)",0.385051930851815,0.0285185244278096,13.5018181542498,4.90463901869829e-14,"Beta_avg_pairwise","PD_Beta_Dispersion_TopDown",0.275814668247519,0.175927036281659,0.0464227965694032
