"term","estimate","std.error","statistic","p.value","Spectral_Metric","Plant_Metric","Model_R2","Model_Adj_R2","Model_P_Value"
"(Intercept)",866.3502,54.0249,16.036,5.92e-16,"sum_squares","PD_Faith_Layered",0.57,0.511,4.49e-05
"sum_squares",0.3695,0.2224,1.661,0.107,"sum_squares","PD_Faith_Layered",0.57,0.511,4.49e-05
"scaled_tree_cover",197.3824,76.3422,2.585,0.015,"sum_squares","PD_Faith_Layered",0.57,0.511,4.49e-05
"scaled_canopy_height",26.7052,72.711,0.367,0.716,"sum_squares","PD_Faith_Layered",0.57,0.511,4.49e-05
"sum_squares:scaled_tree_cover",0.3539,0.3322,1.065,0.296,"sum_squares","PD_Faith_Layered",0.57,0.511,4.49e-05
"(Intercept)",0.4027,0.0161,24.979,3.67e-21,"sum_squares","PD_Beta_Dispersion_Layered",0.326,0.233,0.0189
"sum_squares",1e-04,1e-04,1.108,0.277,"sum_squares","PD_Beta_Dispersion_Layered",0.326,0.233,0.0189
"scaled_tree_cover",-0.0542,0.0228,-2.378,0.0242,"sum_squares","PD_Beta_Dispersion_Layered",0.326,0.233,0.0189
"scaled_canopy_height",0.013,0.0217,0.598,0.555,"sum_squares","PD_Beta_Dispersion_Layered",0.326,0.233,0.0189
"sum_squares:scaled_tree_cover",0,1e-04,0.309,0.759,"sum_squares","PD_Beta_Dispersion_Layered",0.326,0.233,0.0189
"(Intercept)",0.7339,0.0724,10.134,2.53e-09,"sum_squares","FD_FDis_m1_Layered",0.371,0.245,0.0458
"sum_squares",2e-04,3e-04,0.776,0.447,"sum_squares","FD_FDis_m1_Layered",0.371,0.245,0.0458
"scaled_tree_cover",0.2595,0.111,2.338,0.0299,"sum_squares","FD_FDis_m1_Layered",0.371,0.245,0.0458
"scaled_canopy_height",-0.0716,0.0883,-0.811,0.427,"sum_squares","FD_FDis_m1_Layered",0.371,0.245,0.0458
"sum_squares:scaled_tree_cover",-3e-04,8e-04,-0.351,0.729,"sum_squares","FD_FDis_m1_Layered",0.371,0.245,0.0458
"(Intercept)",921.3802,70.9394,12.988,1.29e-13,"Beta_dispersion","PD_Faith_Layered",0.545,0.482,9.74e-05
"Beta_dispersion",401.1643,3633.0963,0.11,0.913,"Beta_dispersion","PD_Faith_Layered",0.545,0.482,9.74e-05
