"Spectral_Metric","Plant_Metric","Correlation","p_val","Structural_Group","R_squared","Significance"
"sum_squares","FD_FDis_m1_TopDown",0.0991754671974742,0.714794040722129,"Closed / Dense Canopy",0.00983577329383728,"ns"
"Beta_dispersion","FD_FDis_m1_TopDown",0.0286797661503735,0.916031414800314,"Closed / Dense Canopy",0.000822528986440111,"ns"
"Beta_avg_pairwise","FD_FDis_m1_TopDown",0.00741288945883939,0.978263221941947,"Closed / Dense Canopy",5.49509301289721e-05,"ns"
"beta_agg_sum_squares","FD_FDis_m1_TopDown",0.156291379062698,0.563247457142606,"Closed / Dense Canopy",0.02442699516932,"ns"
"beta_agg_dispersion","FD_FDis_m1_TopDown",0.178029251664126,0.509476378836664,"Closed / Dense Canopy",0.0316944144480889,"ns"
"Beta_agg_avg_pairwise","FD_FDis_m1_TopDown",0.0714613211436353,0.792555402611616,"Closed / Dense Canopy",0.00510672041959377,"ns"
"sum_squares","FD_RaoQ_m1_TopDown",0.108360683866156,0.689552392606434,"Closed / Dense Canopy",0.011742037807941,"ns"
"Beta_dispersion","FD_RaoQ_m1_TopDown",0.0300673887252296,0.911983073931357,"Closed / Dense Canopy",0.000904047864754064,"ns"
"Beta_avg_pairwise","FD_RaoQ_m1_TopDown",0.056375787114417,0.835717307302725,"Closed / Dense Canopy",0.00317822937277006,"ns"
"beta_agg_sum_squares","FD_RaoQ_m1_TopDown",0.155272969811617,0.565824731177042,"Closed / Dense Canopy",0.0241096951541192,"ns"
"beta_agg_dispersion","FD_RaoQ_m1_TopDown",0.187522920083915,0.48677052717842,"Closed / Dense Canopy",0.0351648455567985,"ns"
"Beta_agg_avg_pairwise","FD_RaoQ_m1_TopDown",0.0931569462426502,0.731486789614568,"Closed / Dense Canopy",0.00867821663325602,"ns"
"sum_squares","FD_Beta_Dispersion_m1_TopDown",0.237884476962566,0.374979084867074,"Closed / Dense Canopy",0.0565890243797534,"ns"
"Beta_dispersion","FD_Beta_Dispersion_m1_TopDown",0.252170338643666,0.346085237798231,"Closed / Dense Canopy",0.0635898796916611,"ns"
"Beta_avg_pairwise","FD_Beta_Dispersion_m1_TopDown",0.130891668905189,0.628965183065589,"Closed / Dense Canopy",0.0171326289887857,"ns"
"beta_agg_sum_squares","FD_Beta_Dispersion_m1_TopDown",0.246552800962617,0.357292835565611,"Closed / Dense Canopy",0.0607882836625117,"ns"
"beta_agg_dispersion","FD_Beta_Dispersion_m1_TopDown",0.294345900556587,0.268457762213704,"Closed / Dense Canopy",0.0866395091744685,"ns"
"Beta_agg_avg_pairwise","FD_Beta_Dispersion_m1_TopDown",0.146241689855899,0.588896671204124,"Closed / Dense Canopy",0.021386631851909,"ns"
"sum_squares","FD_Beta_Turnover_m1_TopDown",0.229835707218891,0.391822208017941,"Closed / Dense Canopy",0.0528244523128079,"ns"
"Beta_dispersion","FD_Beta_Turnover_m1_TopDown",0.23241368734857,0.386383672050095,"Closed / Dense Canopy",0.0540161220669589,"ns"
"Beta_avg_pairwise","FD_Beta_Turnover_m1_TopDown",0.107126125790557,0.692927909171102,"Closed / Dense Canopy",0.0114760068268943,"ns"
"beta_agg_sum_squares","FD_Beta_Turnover_m1_TopDown",0.245104608012304,0.360214643216615,"Closed / Dense Canopy",0.0600762688688651,"ns"
"beta_agg_dispersion","FD_Beta_Turnover_m1_TopDown",0.294837299689326,0.267621908592443,"Closed / Dense Canopy",0.0869290332880936,"ns"
"Beta_agg_avg_pairwise","FD_Beta_Turnover_m1_TopDown",0.136077168131779,0.615313296571404,"Closed / Dense Canopy",0.0185169956867645,"ns"
"sum_squares","FD_FDis_m2_TopDown",-0.00930712905372096,0.972710481356434,"Closed / Dense Canopy",8.66226512226167e-05,"ns"
"Beta_dispersion","FD_FDis_m2_TopDown",0.00309870260149436,0.990912866001299,"Closed / Dense Canopy",9.6019578125079e-06,"ns"
