"Spectral_Metric","Plant_Metric","Correlation","p_val","R_squared","Significance"
"Beta_agg_avg_pairwise","PD_Beta_Dispersion_TopDown",0.339303320597536,0.0496304631775989,0.115126743368514,"*"
"Beta_avg_pairwise","PD_Beta_Dispersion_TopDown",0.331216890980675,0.0556872953365815,0.109704628870904,"ns"
"Beta_dispersion","PD_Beta_Dispersion_TopDown",0.292498908787514,0.093212224236216,0.0855556116418865,"ns"
"beta_agg_dispersion","PD_Beta_Dispersion_TopDown",0.264484429410928,0.130642088403866,0.0699520134008244,"ns"
"beta_agg_sum_squares","PD_Faith_TopDown",0.262095672178772,0.1342836903039,0.0686941413748422,"ns"
"Beta_avg_pairwise","PD_Beta_Sorensen_TopDown",-0.244052636611434,0.164235219664939,0.0595616894369924,"ns"
"Beta_agg_avg_pairwise","PD_Beta_Sorensen_TopDown",-0.235512551306925,0.179970148459152,0.0554661618230971,"ns"
"sum_squares","PD_Beta_Dispersion_TopDown",0.223897406392425,0.20304085531061,0.0501300485892546,"ns"
"beta_agg_sum_squares","PD_Beta_Dispersion_TopDown",0.212390182336838,0.227843901253424,0.0451095895530755,"ns"
"beta_agg_dispersion","PD_Faith_TopDown",0.171164824074886,0.333099178517024,0.0292973970005867,"ns"
"Beta_dispersion","PD_Beta_Sorensen_TopDown",-0.167877209328789,0.342606380372967,0.0281827574120219,"ns"
"sum_squares","PD_Faith_TopDown",0.154954698330715,0.381552300944957,0.0240109585347629,"ns"
"beta_agg_dispersion","PD_Beta_Sorensen_TopDown",-0.147084672473837,0.406486331447782,0.0216339008767358,"ns"
"Beta_dispersion","PD_Faith_TopDown",0.112429942107515,0.526691522619334,0.0126404918822991,"ns"
"Beta_agg_avg_pairwise","PD_Faith_TopDown",0.0847108910524797,0.633841284552032,0.00717593506290508,"ns"
"beta_agg_sum_squares","PD_Beta_Sorensen_TopDown",-0.0365830899047453,0.837256541616753,0.00133832246697868,"ns"
"Beta_avg_pairwise","PD_Faith_TopDown",0.0218604485629458,0.902333665817252,0.000477879211373199,"ns"
"sum_squares","PD_Beta_Sorensen_TopDown",-0.00788455762250262,0.964700786416499,6.21662489025642e-05,"ns"
