"Spectral_Metric","Plant_Metric","Correlation","p_val","Structural_Group","R_squared","Significance"
"sum_squares","PD_Faith_TopDown",0.287866039258499,0.27962844184015,"Closed / Dense Canopy",0.0828668565583756,"ns"
"Beta_dispersion","PD_Faith_TopDown",-0.0147119063852187,0.956874280771283,"Closed / Dense Canopy",0.000216440189487439,"ns"
"Beta_avg_pairwise","PD_Faith_TopDown",-0.102648473330473,0.705215763366916,"Closed / Dense Canopy",0.0105367090770769,"ns"
"beta_agg_sum_squares","PD_Faith_TopDown",0.346164861396857,0.1890507648976,"Closed / Dense Canopy",0.119830111265905,"ns"
"beta_agg_dispersion","PD_Faith_TopDown",0.130145537286811,0.630938963156465,"Closed / Dense Canopy",0.0169378608756728,"ns"
"Beta_agg_avg_pairwise","PD_Faith_TopDown",-0.0153962348118213,0.954870135234735,"Closed / Dense Canopy",0.000237044046380737,"ns"
"sum_squares","PD_Beta_Sorensen_TopDown",-0.432357196572494,0.0944174320797879,"Closed / Dense Canopy",0.186932745428026,"ns"
"Beta_dispersion","PD_Beta_Sorensen_TopDown",-0.53818078990893,0.0315137612847346,"Closed / Dense Canopy",0.289638562627,"*"
"Beta_avg_pairwise","PD_Beta_Sorensen_TopDown",-0.525937477907954,0.0363900247112252,"Closed / Dense Canopy",0.276610230668179,"*"
"beta_agg_sum_squares","PD_Beta_Sorensen_TopDown",-0.395093767879997,0.129876047773365,"Closed / Dense Canopy",0.156099085417613,"ns"
"beta_agg_dispersion","PD_Beta_Sorensen_TopDown",-0.474843156635563,0.0630833283644232,"Closed / Dense Canopy",0.225476023403625,"ns"
"Beta_agg_avg_pairwise","PD_Beta_Sorensen_TopDown",-0.520848207951491,0.0385766137515739,"Closed / Dense Canopy",0.271282855726279,"*"
"sum_squares","PD_Beta_Dispersion_TopDown",0.500174590298366,0.0484892263501154,"Closed / Dense Canopy",0.250174620780138,"*"
"Beta_dispersion","PD_Beta_Dispersion_TopDown",0.610786281592569,0.0119616476097309,"Closed / Dense Canopy",0.373059881781678,"*"
"Beta_avg_pairwise","PD_Beta_Dispersion_TopDown",0.659666745362173,0.00543064087451184,"Closed / Dense Canopy",0.435160214936723,"**"
"beta_agg_sum_squares","PD_Beta_Dispersion_TopDown",0.448636895172987,0.0813289058452491,"Closed / Dense Canopy",0.201275063710458,"ns"
"beta_agg_dispersion","PD_Beta_Dispersion_TopDown",0.511513598605188,0.0428426405583676,"Closed / Dense Canopy",0.261646161558029,"*"
"Beta_agg_avg_pairwise","PD_Beta_Dispersion_TopDown",0.60366316119931,0.0132839617265776,"Closed / Dense Canopy",0.364409212189144,"*"
"sum_squares","PD_Faith_TopDown",0.249802543573168,0.36923713910097,"Open / Sparse Cover",0.0624013107756243,"ns"
"Beta_dispersion","PD_Faith_TopDown",0.273303736569946,0.324325968580946,"Open / Sparse Cover",0.0746949324230943,"ns"
"Beta_avg_pairwise","PD_Faith_TopDown",0.350179574988134,0.200698461656065,"Open / Sparse Cover",0.12262573473887,"ns"
"beta_agg_sum_squares","PD_Faith_TopDown",0.284699863555868,0.303731623179695,"Open / Sparse Cover",0.0810540123087296,"ns"
"beta_agg_dispersion","PD_Faith_TopDown",0.309619826492509,0.261438142261467,"Open / Sparse Cover",0.0958644369572516,"ns"
"Beta_agg_avg_pairwise","PD_Faith_TopDown",0.366248599423972,0.179390200081332,"Open / Sparse Cover",0.134138036580021,"ns"
"sum_squares","PD_Beta_Sorensen_TopDown",0.273779120721772,0.323451298244231,"Open / Sparse Cover",0.0749550069431864,"ns"
"Beta_dispersion","PD_Beta_Sorensen_TopDown",-0.0491760775233618,0.861834838452346,"Open / Sparse Cover",0.00241828660058369,"ns"
"Beta_avg_pairwise","PD_Beta_Sorensen_TopDown",-0.169876461604181,0.544995194009466,"Open / Sparse Cover",0.0288580122071567,"ns"
"beta_agg_sum_squares","PD_Beta_Sorensen_TopDown",0.251011905277434,0.36684686913884,"Open / Sparse Cover",0.0630069765910075,"ns"
"beta_agg_dispersion","PD_Beta_Sorensen_TopDown",-0.0362707118969147,0.897887874597662,"Open / Sparse Cover",0.00131556454150899,"ns"
"Beta_agg_avg_pairwise","PD_Beta_Sorensen_TopDown",-0.178158680061918,0.525259409743476,"Open / Sparse Cover",0.0317405152814049,"ns"
"sum_squares","PD_Beta_Dispersion_TopDown",0.0982054003404693,0.727694214305635,"Open / Sparse Cover",0.00964430065603185,"ns"
"Beta_dispersion","PD_Beta_Dispersion_TopDown",0.241598183986921,0.385676047090011,"Open / Sparse Cover",0.058369682505778,"ns"
"Beta_avg_pairwise","PD_Beta_Dispersion_TopDown",0.261723116200392,0.346049399698887,"Open / Sparse Cover",0.068498989553644,"ns"
"beta_agg_sum_squares","PD_Beta_Dispersion_TopDown",0.0912889222210077,0.746268185130007,"Open / Sparse Cover",0.0083336673202732,"ns"
"beta_agg_dispersion","PD_Beta_Dispersion_TopDown",0.221295003519248,0.427999649497159,"Open / Sparse Cover",0.048971478582584,"ns"
"Beta_agg_avg_pairwise","PD_Beta_Dispersion_TopDown",0.290351281511364,0.293809319534336,"Open / Sparse Cover",0.0843038666752916,"ns"
"sum_squares","PD_Faith_TopDown",0.740901133733481,0.468797388762553,"High Stem Density",0.548934489967558,"ns"
"Beta_dispersion","PD_Faith_TopDown",-0.249945072647417,0.839174867853715,"High Stem Density",0.0624725393407223,"ns"
"Beta_avg_pairwise","PD_Faith_TopDown",-0.119297904880694,0.923871284228505,"High Stem Density",0.0142319901089231,"ns"
"beta_agg_sum_squares","PD_Faith_TopDown",0.586614323048554,0.600920926815438,"High Stem Density",0.344116364005714,"ns"
"beta_agg_dispersion","PD_Faith_TopDown",-0.432773010343208,0.715070316644832,"High Stem Density",0.187292478481522,"ns"
"Beta_agg_avg_pairwise","PD_Faith_TopDown",-0.320722661313756,0.792148511110865,"High Stem Density",0.102863025480178,"ns"
"sum_squares","PD_Beta_Sorensen_TopDown",-0.0632250881132521,0.959722794246482,"High Stem Density",0.0039974117669285,"ns"
"Beta_dispersion","PD_Beta_Sorensen_TopDown",-0.912887230898871,0.26769505086275,"High Stem Density",0.833363096338209,"ns"
"Beta_avg_pairwise","PD_Beta_Sorensen_TopDown",-0.850671383011182,0.35239146723754,"High Stem Density",0.723641801874158,"ns"
"beta_agg_sum_squares","PD_Beta_Sorensen_TopDown",-0.267508587829675,0.827599256193597,"High Stem Density",0.0715608445626267,"ns"
"beta_agg_dispersion","PD_Beta_Sorensen_TopDown",-0.974670931458582,0.143590499653867,"High Stem Density",0.949983424630339,"ns"
"Beta_agg_avg_pairwise","PD_Beta_Sorensen_TopDown",-0.940524445676772,0.2206686941199,"High Stem Density",0.884586232915599,"ns"
"sum_squares","PD_Beta_Dispersion_TopDown",-0.995758041161208,0.0586586396408561,"High Stem Density",0.991534076537206,"ns"
"Beta_dispersion","PD_Beta_Dispersion_TopDown",-0.38168711284702,0.750686383024588,"High Stem Density",0.145685052113494,"ns"
"Beta_avg_pairwise","PD_Beta_Dispersion_TopDown",-0.500920265902079,0.665989966649799,"High Stem Density",0.25092111279141,"ns"
"beta_agg_sum_squares","PD_Beta_Dispersion_TopDown",-0.955431023226837,0.190782177693742,"High Stem Density",0.91284844014428,"ns"
"beta_agg_dispersion","PD_Beta_Dispersion_TopDown",-0.195412401119683,0.874790934233472,"High Stem Density",0.03818600651136,"ns"
"Beta_agg_avg_pairwise","PD_Beta_Dispersion_TopDown",-0.312431967421248,0.797712739767439,"High Stem Density",0.0976137342667116,"ns"
