"Spectral_Metric","Plant_Metric","Correlation","p_val","R_squared","Significance"
"beta_agg_dispersion","TD_Richness_TopDown",0.376928177983138,0.0279914233960479,0.142074851357688,"*"
"Beta_agg_avg_pairwise","TD_Richness_TopDown",0.368997477987456,0.0317485423093286,0.136159138761103,"*"
"Beta_dispersion","TD_Richness_TopDown",0.359171593435707,0.0369641205337568,0.129004233531145,"*"
"beta_agg_sum_squares","TD_Richness_TopDown",0.343292364817946,0.0468428499262208,0.117849647742298,"*"
"Beta_avg_pairwise","TD_Beta_Dispersion_TopDown",0.334558059394846,0.0531173331548765,0.111929095106045,"ns"
"beta_agg_dispersion","TD_Shannon_Eff_TopDown",0.331043683697614,0.0558231643154277,0.109589920516086,"ns"
"beta_agg_sum_squares","TD_Shannon_Eff_TopDown",0.329785626503686,0.0568179277345466,0.108758559448428,"ns"
"Beta_avg_pairwise","TD_Richness_TopDown",0.329397050835454,0.0571280017752096,0.108502417099095,"ns"
"Beta_agg_avg_pairwise","TD_Beta_Dispersion_TopDown",0.325083957071123,0.0606604856989415,0.10567957914502,"ns"
"sum_squares","TD_Richness_TopDown",0.296611004220716,0.0884920533423958,0.0879780878248218,"ns"
"Beta_dispersion","TD_Beta_Dispersion_TopDown",0.296193779339698,0.0889624407888972,0.0877307549195337,"ns"
"Beta_avg_pairwise","TD_Beta_Bray_TopDown",0.295436710046845,0.0898208699061608,0.0872828496433036,"ns"
"beta_agg_dispersion","TD_Beta_Dispersion_TopDown",0.286906916432516,0.0999367856804497,0.0823155786968147,"ns"
"Beta_agg_avg_pairwise","TD_Shannon_Eff_TopDown",0.284735756335951,0.102644676622256,0.0810744509362063,"ns"
"Beta_agg_avg_pairwise","TD_Beta_Bray_TopDown",0.276181479301775,0.113856746046834,0.0762762095093166,"ns"
"Beta_dispersion","TD_Shannon_Eff_TopDown",0.254529103779474,0.146311802281538,0.0647850646707822,"ns"
"Beta_avg_pairwise","TD_Simpson_Eff_TopDown",-0.250642243321611,0.152787140476153,0.0628215341372897,"ns"
"Beta_agg_avg_pairwise","TD_Simpson_Eff_TopDown",-0.244504333241006,0.163431396916993,0.0597823689736289,"ns"
"Beta_dispersion","TD_Beta_Bray_TopDown",0.234215165001967,0.182450764509259,0.0548567435168986,"ns"
"beta_agg_dispersion","TD_Beta_Bray_TopDown",0.225250775126735,0.200252038788546,0.0507379116951951,"ns"
"Beta_avg_pairwise","TD_Shannon_Eff_TopDown",0.219269865917887,0.212779663333533,0.0480792740996483,"ns"
"sum_squares","TD_Shannon_Eff_TopDown",0.204814605164037,0.245250746050929,0.0419490224885006,"ns"
"Beta_dispersion","TD_Simpson_Eff_TopDown",-0.201642712753277,0.252795939555615,0.0406597836065007,"ns"
"beta_agg_sum_squares","TD_Beta_Dispersion_TopDown",0.198795320647433,0.259699043083137,0.0395195795113157,"ns"
"beta_agg_dispersion","TD_Simpson_Eff_TopDown",-0.190386122944587,0.280805619289415,0.0362468758098714,"ns"
"sum_squares","TD_Beta_Dispersion_TopDown",0.184118428837608,0.29723845247242,0.0338995958376294,"ns"
"beta_agg_sum_squares","TD_Beta_Bray_TopDown",0.141135149488279,0.425934693455831,0.0199191304210789,"ns"
"sum_squares","TD_Beta_Bray_TopDown",0.122097180816981,0.491519762943096,0.0149077215634546,"ns"
"beta_agg_sum_squares","TD_Simpson_Eff_TopDown",-0.118028349800955,0.506175166312159,0.0139306913567365,"ns"
"sum_squares","TD_Simpson_Eff_TopDown",-0.106297905040303,0.54961753970225,0.0112992446159574,"ns"
