"Spectral_Metric","Plant_Metric","Correlation","p_val","Structural_Group","R_squared","Significance"
"sum_squares","TD_Richness_TopDown",0.11284017665008,0.677351015040066,"Closed / Dense Canopy",0.0127329054664213,"ns"
"Beta_dispersion","TD_Richness_TopDown",0.15513311669833,0.566179047778168,"Closed / Dense Canopy",0.0240662838965377,"ns"
"Beta_avg_pairwise","TD_Richness_TopDown",-0.0256933027761291,0.924750762380847,"Closed / Dense Canopy",0.000660145807545845,"ns"
"beta_agg_sum_squares","TD_Richness_TopDown",0.182339463135248,0.499107124861049,"Closed / Dense Canopy",0.0332476798164504,"ns"
"beta_agg_dispersion","TD_Richness_TopDown",0.178515323356618,0.508302029648785,"Closed / Dense Canopy",0.0318677206731178,"ns"
"Beta_agg_avg_pairwise","TD_Richness_TopDown",0.0870357778697117,0.748580798287135,"Closed / Dense Canopy",0.00757522662938579,"ns"
"sum_squares","TD_Shannon_Eff_TopDown",0.361640360781427,0.168716045567237,"Closed / Dense Canopy",0.130783750546121,"ns"
"Beta_dispersion","TD_Shannon_Eff_TopDown",0.209086570959924,0.437068381055623,"Closed / Dense Canopy",0.0437171941557795,"ns"
"Beta_avg_pairwise","TD_Shannon_Eff_TopDown",0.0150226070542031,0.95596432242492,"Closed / Dense Canopy",0.000225678722704993,"ns"
"beta_agg_sum_squares","TD_Shannon_Eff_TopDown",0.463409537514795,0.0706309011880875,"Closed / Dense Canopy",0.214748399459676,"ns"
"beta_agg_dispersion","TD_Shannon_Eff_TopDown",0.322328386651242,0.22339312294295,"Closed / Dense Canopy",0.103895588841193,"ns"
"Beta_agg_avg_pairwise","TD_Shannon_Eff_TopDown",0.149410021960692,0.580758806183172,"Closed / Dense Canopy",0.0223233546622945,"ns"
"sum_squares","TD_Simpson_Eff_TopDown",0.101310771237708,0.7089002158744,"Closed / Dense Canopy",0.0102638723687792,"ns"
"Beta_dispersion","TD_Simpson_Eff_TopDown",0.074583645034147,0.783687938296741,"Closed / Dense Canopy",0.00556272010657964,"ns"
"Beta_avg_pairwise","TD_Simpson_Eff_TopDown",0.224033008971905,0.404213256050565,"Closed / Dense Canopy",0.0501907891090057,"ns"
"beta_agg_sum_squares","TD_Simpson_Eff_TopDown",-0.0171881406741826,0.94962353329185,"Closed / Dense Canopy",0.000295432179835491,"ns"
"beta_agg_dispersion","TD_Simpson_Eff_TopDown",-0.022147175486099,0.935114480471707,"Closed / Dense Canopy",0.000490497382012066,"ns"
"Beta_agg_avg_pairwise","TD_Simpson_Eff_TopDown",0.101407448998009,0.708633730915671,"Closed / Dense Canopy",0.0102834707122839,"ns"
"sum_squares","TD_Beta_Bray_TopDown",0.222163223740895,0.408249817337122,"Closed / Dense Canopy",0.049356497982947,"ns"
"Beta_dispersion","TD_Beta_Bray_TopDown",0.310760943171559,0.24139719910482,"Closed / Dense Canopy",0.0965723638008768,"ns"
"Beta_avg_pairwise","TD_Beta_Bray_TopDown",0.19188201167692,0.476510560229225,"Closed / Dense Canopy",0.0368187064051817,"ns"
"beta_agg_sum_squares","TD_Beta_Bray_TopDown",0.27827313410857,0.296672225588377,"Closed / Dense Canopy",0.077435937166606,"ns"
"beta_agg_dispersion","TD_Beta_Bray_TopDown",0.384414131280667,0.141530512129211,"Closed / Dense Canopy",0.14777422432827,"ns"
"Beta_agg_avg_pairwise","TD_Beta_Bray_TopDown",0.293772582692969,0.269434966447935,"Closed / Dense Canopy",0.0863023303420974,"ns"
"sum_squares","TD_Beta_Dispersion_TopDown",0.209998977567481,0.435024567261721,"Closed / Dense Canopy",0.0440995705793873,"ns"
"Beta_dispersion","TD_Beta_Dispersion_TopDown",0.300186144799782,0.258626571739156,"Closed / Dense Canopy",0.0901117215297556,"ns"
"Beta_avg_pairwise","TD_Beta_Dispersion_TopDown",0.171304855575699,0.525850784378345,"Closed / Dense Canopy",0.0293453535438111,"ns"
"beta_agg_sum_squares","TD_Beta_Dispersion_TopDown",0.268057080432137,0.315485170063332,"Closed / Dense Canopy",0.0718545983698012,"ns"
"beta_agg_dispersion","TD_Beta_Dispersion_TopDown",0.377289266183391,0.149690534464052,"Closed / Dense Canopy",0.142347190377202,"ns"
"Beta_agg_avg_pairwise","TD_Beta_Dispersion_TopDown",0.281981655048743,0.290011697553481,"Closed / Dense Canopy",0.0795136537840284,"ns"
