"siteID","TD_Richness_Layered","TD_Shannon_Eff_Layered","TD_Simpson_Eff_Layered","TD_Beta_Bray_Layered","TD_Beta_Dispersion_Layered","PD_Faith_Layered","PD_Beta_Sorensen_Layered","PD_Beta_Dispersion_Layered","FD_FDis_m1_Layered","FD_RaoQ_m1_Layered","FD_Beta_Dispersion_m1_Layered","FD_Beta_Turnover_m1_Layered","FD_FDis_m2_Layered","FD_RaoQ_m2_Layered","FD_Beta_Dispersion_m2_Layered","FD_Beta_Turnover_m2_Layered","TD_Richness_TopDown","TD_Shannon_Eff_TopDown","TD_Simpson_Eff_TopDown","TD_Beta_Bray_TopDown","TD_Beta_Dispersion_TopDown","PD_Faith_TopDown","PD_Beta_Sorensen_TopDown","PD_Beta_Dispersion_TopDown","FD_FDis_m1_TopDown","FD_RaoQ_m1_TopDown","FD_Beta_Dispersion_m1_TopDown","FD_Beta_Turnover_m1_TopDown","FD_FDis_m2_TopDown","FD_RaoQ_m2_TopDown","FD_Beta_Dispersion_m2_TopDown","FD_Beta_Turnover_m2_TopDown","year","tile_num","sum_squares","Beta_dispersion","Beta_avg_pairwise","gamma_sum_squares","gamma_dispersion","beta_agg_sum_squares","beta_agg_dispersion","Beta_agg_avg_pairwise","plot_sum_squares","plot_beta_dispersion","plot_avg_pairwise","n_plots","total_visible_stems","total_site_canopy_area","mean_canopy_height_site","max_canopy_height_site","canopy_height_sd_site","mean_base_crown_height_site","mean_elevation","avg_visible_canopy_per_plot","pct_visible_tree_cover","visible_stems_per_ha","site_year"
"ABBY",58,7.1972,1.4571,0.6007,0.4122,1137.7746,0.4997,0.4452,0.7351,0.9967,0.4465,0.6238,1.0822,2.1269,0.6375,0.888,48,2.8397,2.8961,0.5483,0.3845,759.0395,0.4251,0.4859,0.2921,0.4033,0.417,0.5102,0.4015,0.7649,0.5318,0.656,2024,"1",285.05411539325,0.0227026214871973,0.166578988462454,285.05411539325,0.0227026214871973,2.30946923616702,0.0133495331570348,0.12554477290037,50.5011429010159,1.53033766366715,0.20546169493099,22,414,4954.20695,4.43404,62.6,4.469,0.50175,485.98889,225.19122,56.29781,470.45455,"ABBY_2024"
"BART",34,8.5935,1.2078,0.5507,0.3759,947.3254,0.716,0.3009,0.9464,1.2764,0.6434,0.9467,2.1803,5.4898,1.2639,1.8564,27,7.6947,1.237,0.7188,0.5064,809.2167,0.6805,0.3288,0.8605,1.0822,0.7697,1.123,1.8738,4.3406,1.5285,2.1592,2024,"1",71.4163620929248,0.0114780395520612,0.0894024489020739,71.4163620929248,0.0114780395520612,0.602382217849351,0.00762509136518165,0.0740968162774677,108.823167254661,3.20068138984296,0.231154804414607,21,357,6173.02795,8.1022,28.4,6.75774,0.58593,431.81261,293.95371,73.48843,425,"BART_2024"
"BLAN",68,18.8934,1.0871,0.893,0.623,679.9519,0.4864,0.4295,NA,NA,NA,NA,NA,NA,NA,NA,65,18.7702,1.099,0.9371,0.6512,573.097,0.4975,0.408,NA,NA,NA,NA,NA,NA,NA,NA,2024,"1",24.2702595885255,0.0108689026370468,0.114417316260565,24.2702595885255,0.0108689026370468,0.163973717076548,0.00431509781780391,0.0688567853197691,7.83346068349241,0.340585247108366,0.102069574236028,20,92,2555.2293,5.34376,38.1,5.35175,0,136.90109,127.76146,31.94037,115,"BLAN_2024"
"CLBJ",65,8.8423,1.2913,0.8335,0.5806,836.0824,0.4504,0.4719,0.8613,1.6006,0.6035,0.8872,1.4255,3.7309,1.1089,1.6194,58,7.442,1.4034,0.8582,0.5989,628.8028,0.4793,0.447,0.5796,0.8704,0.5916,0.9424,0.987,2.0964,1.2854,1.8697,2024,"1",263.541104891834,0.0174680920588476,0.152532815088484,263.541104891834,0.0174680920588476,1.76517790761112,0.00735490794837966,0.0986466992087423,17.1313168172273,0.51913081264325,0.151833082845837,21,200,2737.78736,3.30008,12.6,2.17239,0.59937,296.3215,130.37083,32.59271,238.09524,"CLBJ_2024"
"CPER",35,10.0137,1.1825,0.8895,0.6193,396.6834,0.3605,0.5864,NA,NA,NA,NA,NA,NA,NA,NA,36,10.2863,1.1766,0.8891,0.6188,396.6834,0.3605,0.5864,NA,NA,NA,NA,NA,NA,NA,NA,2024,"1",33.7984647838927,0.001398017239572,0.0453567161108125,33.7984647838927,0.001398017239572,0.262881656097278,0.000932204454245665,0.0374372948316901,9.41694484660139,0.136477461544948,0.0408994114931894,20,245,218.07631,0.63283,1.1,0.157,0,1630.00041,10.90382,2.72595,306.25,"CPER_2024"
"DELA",85,21.5955,1.0748,0.8317,0.5775,1103.0866,0.4909,0.4046,0.9558,1.2854,0.6934,1.0267,1.7069,3.4548,1.1315,1.6718,66,15.2674,1.0993,0.9084,0.6339,746.2741,0.4683,0.4555,0.6692,0.8883,1.2765,1.8394,1.1963,2.2864,1.7973,2.623,2024,"1",50.3022147818676,0.0341263329592046,0.167214675574876,50.3022147818676,0.0341263329592046,0.458349231900209,0.0208340559954641,0.140590704336077,20.1687683697564,0.560243565826568,0.1036439989609,23,216,7208.89927,8.82156,35.6,6.97061,0.93191,24.58148,313.4304,78.3576,234.78261,"DELA_2024"
"DSNY",110,21.288,1.1097,0.9408,0.6615,699.6167,0.4968,0.5043,NA,NA,NA,NA,NA,NA,NA,NA,105,19.7351,1.1249,0.9349,0.6571,637.8571,0.5075,0.4703,NA,NA,NA,NA,NA,NA,NA,NA,2024,"2",507.105407919539,0.0325067569179192,0.201017157858949,507.105407919539,0.0325067569179192,5.59175085930932,0.0283845221284737,0.184595268571972,27.891066076787,0.733975423073343,0.259317324445344,41,181,1200.4919,2.16329,26.8,1.59168,0.50104,19.87017,29.28029,7.32007,110.36585,"DSNY_2024"
"GRSM",70,21.2297,1.0818,0.7247,0.5022,1664.8644,0.5516,0.3573,1.0013,1.568,0.583,0.8624,1.5958,3.5405,0.9142,1.3531,59,13.8351,1.1551,0.8106,0.5675,1154.8322,0.4913,0.4288,0.9495,1.6405,0.7533,1.0723,1.4129,3.1973,1.053,1.544,2024,"2",284.233598970482,0.0223120809302522,0.128139466414289,284.233598970482,0.0223120809302522,5.80124350670962,0.0214068026077846,0.128457313029959,65.3245205890462,1.86641487397275,0.215240663810976,20,234,4102.19618,7.15753,44.1,7.11971,0.62559,816.97863,205.10981,51.27745,292.5,"GRSM_2024"
"GUAN",99,32.6009,1.0565,0.8269,0.5707,1466.8139,0.5196,0.3654,1.2697,2.0694,0.6496,0.9711,2.0138,4.8382,0.9699,1.4533,65,24.1494,1.0793,0.8757,0.606,670.6567,0.288,0.5682,1.001,1.3372,0.797,1.2002,1.569,3.1871,1.2186,1.8344,2024,"1",136.998119567651,0.0159541306122803,0.134872772793837,136.998119567651,0.0159541306122803,1.92817179952632,0.0173709171128497,0.143567838064095,2.65635732932356,0.102167589589368,0.0604162180465093,20,108,2035.85352,3.53819,50,1.61456,0.41636,128.51111,101.79268,25.44817,135,"GUAN_2024"
"HARV",72,14.0864,1.1324,0.6366,0.4396,1321.05,0.6798,0.2502,0.9083,1.0651,0.507,0.7225,1.6423,3.1545,0.8241,1.1891,54,9.6078,1.2062,0.7267,0.513,1077.1902,0.6356,0.3484,0.6969,0.7362,0.7303,0.9997,1.2553,2.1865,1.1993,1.6669,2024,"1",66.5526834388318,0.00467824289602361,0.0439871999944903,66.5526834388318,0.00467824289602361,0.71208564786273,0.00370877941595172,0.0499633353078793,1.86312608571685,0.0665402173470304,0.0490968858536336,22,263,6510.4221,6.99109,37.5,6.91568,0.59478,211.15437,295.92828,73.98207,298.86364,"HARV_2024"
