"taxonID","scientificName","LMA_gm2","N_pct","C_pct","d13C","d15N","chlorophyll_mgg","carotenoids_mgg","lignin_pct","cellulose_pct","EWT_g_cm2","n_sites","n_samples"
"","",80.3128571428571,1.7573883161512,45.1981701030928,-23.6356529209622,-0.319501718213058,2.88013943417637,0.663236483736968,5.84664655172414,27.5173965517241,0.000130626397255412,29,584
"ABAM","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes",305.9,0.8475,52.57,-30.45,-5.3,1.4480210203215,0.270670795538764,13.1025,13.84,0.000291823309368699,1,4
"ABBA","Abies balsamea (L.) Mill.",179.323529411765,1.27947368421053,51.3036842105263,-29.2236842105263,-3.11842105263158,1.66927797219858,0.324534075619675,13.5089473684211,11.3031578947368,0.000196107871214829,3,19
"ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",288.84,0.928,50.446,-27.54,-4.24,1.0485455861581,0.217297749214186,17.496,15.05,0.000360011906139752,1,5
"ABFR","Abies fraseri (Pursh) Poir.",166.05,1.15,46.75,-30.1,-1.1,1.6185482485935,0.20038811968701,8.495,9.895,0.00013523240611845,1,2
"ABLAL","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa",307.321428571429,1.07,51.8885714285714,-26.5928571428571,-4.80714285714286,1.66805777784814,0.301872738465495,15.5314285714286,13.9085714285714,0.000304991590070291,2,14
"ABMA","Abies magnifica A. Murray bis",353.42,0.922,50.344,-28.06,-3.78,1.2547170055972,0.218958394890224,19.048,14.282,0.000405759360346947,1,5
"ABPR","Abies procera Rehder",243.9,1.38,50.68,-30.2,-3.9,0.697390338700722,0.152137701277068,15.13,16.65,0.000359370762137239,1,2
"ACBA3","Acer barbatum Michx.",92.2,1.35,48.935,-27.4,-1.5,2.72880630910901,0.737192010950722,10.22,13.325,6.68123328495795e-05,1,2
"ACCI","Acer circinatum Pursh",44.125,1.5375,49.135,-29.425,-4.8,3.85255191941747,0.905521529128715,6.055,9.5825,7.19752906415848e-05,2,5
"ACKO","Acacia koa A. Gray",190.025,2.4275,55.05,-28.475,-1.05,1.78106292353027,0.385106407413097,22.33,15.205,0.000283397342219896,1,4
"ACNE2","Acer negundo L.",64.1,1.67,48.88,-27.5,1,1.52554179566563,0.397058823529412,10.8,13.72,0.000108283475183281,1,1
"ACNEN","Acer negundo L. var. negundo",51.9416666666667,2.6375,48.6508333333333,-28.2,-0.391666666666667,2.26932426997871,0.384304571405921,12.2408333333333,15.3275,0.00011896522463347,3,12
"ACNI5","Acer nigrum Michx. f.",75.5,1.465,52.39,-28.45,-2.9,4.8921052631579,1.01578947368421,11.02,14.03,7.77331137260172e-05,1,2
"ACRE4","Acacia retusa (Jacq.) Howard",58.2,4.75,48.49,-28.9,2.9,3.48173913043478,0.753043478260869,6.36,13.37,7.98359912476098e-05,1,1
"ACRU","Acer rubrum L.",84.920618556701,1.755,50.3879081632653,-28.1494897959184,-3.33418367346939,2.97888696225153,0.630394456497298,10.7454591836735,11.0954081632653,0.000113995436783614,13,100
"ACRUR","Acer rubrum L. var. rubrum",78.4,1.9,47.3,-26.4,-2.8,2.8,0.206666666666667,8.06,7.48,9.11152077638633e-05,1,1
"ACSA2","Acer saccharinum L.",97.2,1.89,49.93,-25.7,4.4,2.23056994818653,0.593264248704663,7.57,7.36,9.65909710336106e-05,1,1
"ACSA3","Acer saccharum Marshall",67.3827586206897,1.7,48.2375,-28.0464285714286,-4.70178571428571,3.47227505871904,0.735038940234869,8.97857142857143,13.05,8.46362437539135e-05,6,29
"ACSAS","Acer saccharum Marshall var. saccharum",105.92,1.512,49.674,-27.58,-3.58,1.99436765437946,0.477316717908557,8.886,11.494,0.000104640383871403,2,5
"AECA","Aesculus californica (Spach) Nutt.",115,2.22,46.77,-29.7,-0.8,0.886105412136439,0.293226326703018,5.33,7.73,0.000215185934339505,1,1
"AIAL","Ailanthus altissima (Mill.) Swingle",86.8625,2.513125,49.848125,-27.10625,1.51875,1.90728033007385,0.432875485675325,8.755,10.06625,0.000153954153891875,3,8
"ALINR","Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen",69.8111111111111,2.8,51.525,-28.1666666666667,-1.16666666666667,4.77417909682766,1.09049404198912,17.8644444444444,10.8755555555556,0.000101439765798604,3,9
"ALRU2","Alnus rubra Bong.",85.1333333333333,2.53666666666667,51.85,-28.5333333333333,-1.26666666666667,2.96608059321735,0.65245776719808,11.5966666666667,10.5866666666667,0.000123819056222938,1,4
"ALVI5","Alnus viridis (Chaix) DC.",78.38,2.886,49.434,-28.06,-0.9,5.17492065952916,1.00916466056943,15.876,13.446,8.47458431506632e-05,2,5
"ALWR","Aloysia wrightii (A. Gray) A. Heller",86.5,3.68,47.31,-26.7,0.55,1.6653742049632,0.330057722273694,6.7,12.805,0.000150919649311719,1,2
"AMEL","Amyris elemifera L.",138.55,2.0825,48.555,-27.575,4.6,2.38503107382422,0.614390495240401,9.795,19.1575,0.000130551181134854,1,4
"AMLA","Amelanchier laevis Wiegand",101.057142857143,2.19142857142857,50.2814285714286,-27.7285714285714,-2.04285714285714,3.67299663033002,0.723248252888253,20.8714285714286,15.5685714285714,0.000128044869198922,1,7
"ANAC4","Antirhea acutata (DC.) Urb.",70.9,1.57,53.63,-26.7,5.5,1.29580348004094,0.253838280450358,20.5,17.95,0.00015257865392274,1,1
"ARNE","Arctostaphylos nevadensis A. Gray",176,1.09,52.04,-28.7,-2.8,0.943877551020408,0.211734693877551,17.38,13.48,0.000237244897959184,1,1
"ARPA6","Arctostaphylos patula Greene",240.5,0.87,50.715,-29.15,-4.1,0.741919913503495,0.171014894670144,13.045,12.955,0.000228883946261083,1,2
"ARTR2","Artemisia tridentata Nutt.",110.8,2.08875,50.0294642857143,-26.7196428571429,1.50357142857143,1.03379349029222,0.23247137478973,10.8167857142857,15.1432142857143,0.000154782741754408,3,28
