"siteID","TD_Richness","TD_Shannon_Eff","TD_Simpson_Eff","TD_Beta_Bray","TD_Beta_Dispersion","PD_Faith","PD_Beta_Sorensen","PD_Beta_Dispersion","FD_FDis_m1_Layered","FD_RaoQ_m1_Layered","FD_Beta_Dispersion_m1_Layered","FD_Beta_Turnover_m1_Layered","FD_FDis_m2_Layered","FD_RaoQ_m2_Layered","FD_Beta_Dispersion_m2_Layered","FD_Beta_Turnover_m2_Layered"
"ABBY",58,7.1972,1.4571,0.6007,0.4122,1137.7746,0.4997,0.4452,0.735147705696902,0.996662430686592,0.446549877946648,0.623835409221721,1.08219171833768,2.12692208441544,0.637503396358854,0.887981467720321
"BART",34,8.5935,1.2078,0.5507,0.3759,947.3254,0.716,0.3009,0.946411829926362,1.27643407337278,0.643369589969378,0.946675721966732,2.18025923511641,5.48977267852486,1.26388009723355,1.85641744226571
"BONA",30,6.312,1.344,0.7278,0.5115,1028.9166,0.6837,0.2677,0.855803818116036,1.38821434443784,1.09943165090978,1.42876688220851,1.29681646283937,2.9944243478567,1.52676407344513,1.99678407711022
"CLBJ",65,8.8423,1.2913,0.8335,0.5806,836.0824,0.4504,0.4719,0.861296671020616,1.60063303167443,0.603488441923019,0.887219924126763,1.42550559071865,3.73094705588634,1.10888297378963,1.6194054383135
"DELA",85,21.5955,1.0748,0.8317,0.5775,1103.0866,0.4909,0.4046,0.955753318032346,1.28541574045358,0.693440411938654,1.02667379894036,1.70691904892569,3.45478408260551,1.13150794130654,1.67179790332187
"GRSM",70,21.2297,1.0818,0.7247,0.5022,1664.8644,0.5516,0.3573,1.00129382894975,1.56798235419398,0.583014544449159,0.86240187830063,1.5958459293857,3.54050713514465,0.914235710160927,1.35306525797285
"GUAN",99,32.6009,1.0565,0.8269,0.5707,1466.8139,0.5196,0.3654,1.26969195025128,2.06940354414954,0.649638441516778,0.971072083594621,2.0137575989058,4.83819554892337,0.969939786588841,1.45329488785403
"HARV",72,14.0864,1.1324,0.6366,0.4396,1321.05,0.6798,0.2502,0.908277640496006,1.06508280683712,0.50696917419738,0.722546779776569,1.64229248590044,3.15447832270563,0.824143921600195,1.18910095763542
"JORN",13,1.5549,5.1153,0.3058,0.2064,315.78,0.7435,0.2602,0.405987916578175,0.330548710944719,0.240238334988744,0.384204219829451,0.721859273027793,1.00079334765246,0.404496284396174,0.607985080976559
"LENO",75,15.6899,1.1027,0.6629,0.4614,1210.7147,0.6133,0.2993,1.27170427415302,2.2338945855613,0.490319986403995,0.710048572934053,2.09007593816251,5.15099986097461,0.868693626228916,1.26089080295968
"MLBS",72,16.9696,1.1172,0.6902,0.4796,1191.2494,0.5259,0.3996,0.768968350556106,0.932469186683791,0.473331795263742,0.700237602554894,1.34715021404136,2.38238541357125,0.927832833196894,1.31957859510724
"MOAB",28,7.0078,1.3074,0.8711,0.6066,491.6916,0.5699,0.4289,0.60438970414787,0.543976828785962,1.30009910992475,1.72109812659537,1.02818270661585,1.41183651039776,1.80929602029685,2.4398111407575
"NIWO",43,7.6808,1.2206,0.8289,0.5798,392.288,0.473,0.4823,0.432952101649009,0.261666996588148,0.563192360833062,0.843611711265369,0.625223643742942,0.550207909039417,0.847590587552883,1.26757949991789
"ONAQ",32,4.172,1.7225,0.7505,0.5347,566.3526,0.6106,0.4053,0.450574818561606,0.474501014432402,1.20269697837101,1.4895568274498,0.82607602916082,1.56675196057592,1.76686229239537,2.20599744128692
"ORNL",86,24.6418,1.0672,0.8987,0.6266,1226.771,0.4377,0.5012,0.923325623255944,1.5290485108822,0.981127583326486,1.46868092407676,1.68783685042724,4.2577904630889,1.61468504892517,2.40636570549317
"PUUM",53,6.5033,1.5496,0.4532,0.3096,1141.5024,0.5741,0.3877,0.897602521053054,1.45852976742848,0.6380662013829,0.906134531669728,1.23863178116775,2.69934734824247,0.866828960357503,1.23373602569354
"RMNP",51,8.5327,1.1788,0.7258,0.5164,941.7443,0.5815,0.3904,0.462031157834132,0.420634943242662,0.368638220930694,0.531365145973038,0.668976563393376,0.788501414179185,0.590767020017995,0.84756749761283
"SCBI",83,28.4069,1.0531,0.9007,0.6283,1015.0614,0.4543,0.455,0.818443674675974,0.98055662200052,0.6855037041296,1.01610943737083,1.51243913453313,2.95722185185582,1.0623891557717,1.55141055548764
"SERC",80,13.1128,1.1556,0.7274,0.5078,1069.7534,0.4678,0.3956,0.68453406509418,0.71052361914966,0.334299105564123,0.482821687493523,1.4949941217416,2.92606281156176,0.828629827975977,1.2050687006013
