"siteID","TD_Richness","TD_Shannon_Eff","TD_Simpson_Eff","TD_Beta_Bray","TD_Beta_Dispersion","PD_Faith","PD_Beta_Sorensen","PD_Beta_Dispersion"
"ABBY",58,7.1972,1.4571,0.6007,0.4122,1137.7746,0.4997,0.4452
"BART",34,8.5935,1.2078,0.5507,0.3759,947.3254,0.716,0.3009
"BLAN",68,18.8934,1.0871,0.893,0.623,679.9519,0.4864,0.4295
"BONA",30,6.312,1.344,0.7278,0.5115,1028.9166,0.6837,0.2677
"CLBJ",65,8.8423,1.2913,0.8335,0.5806,836.0824,0.4504,0.4719
"CPER",35,10.0137,1.1825,0.8895,0.6193,396.6834,0.3605,0.5864
"DEJU",36,9.57,1.2144,0.7606,0.5303,928.0806,0.6635,0.3544
"DELA",85,21.5955,1.0748,0.8317,0.5775,1103.0866,0.4909,0.4046
"DSNY",110,21.288,1.1097,0.9408,0.6615,699.6167,0.4968,0.5043
"GRSM",70,21.2297,1.0818,0.7247,0.5022,1664.8644,0.5516,0.3573
"GUAN",99,32.6009,1.0565,0.8269,0.5707,1466.8139,0.5196,0.3654
"HARV",72,14.0864,1.1324,0.6366,0.4396,1321.05,0.6798,0.2502
"HEAL",31,12.6727,1.1112,0.7964,0.5511,827.2751,0.6532,0.3516
"JERC",122,29.7941,1.0839,0.9726,0.6775,856.5682,0.4192,0.4745
"JORN",13,1.5549,5.1153,0.3058,0.2064,315.78,0.7435,0.2602
"KONZ",25,9.971,1.1815,0.9738,0.5622,1053.6884,0.3292,0.2926
"LAJA",24,11.1904,1.1277,0.9917,0.5725,788.7257,0.2165,0.3898
"LENO",75,15.6899,1.1027,0.6629,0.4614,1210.7147,0.6133,0.2993
"MLBS",72,16.9696,1.1172,0.6902,0.4796,1191.2494,0.5259,0.3996
"MOAB",28,7.0078,1.3074,0.8711,0.6066,491.6916,0.5699,0.4289
"NIWO",43,7.6808,1.2206,0.8289,0.5798,392.288,0.473,0.4823
"ONAQ",32,4.172,1.7225,0.7505,0.5347,566.3526,0.6106,0.4053
"ORNL",86,24.6418,1.0672,0.8987,0.6266,1226.771,0.4377,0.5012
"OSBS",86,21.5658,1.0936,0.933,0.6556,894.7563,0.4987,0.4719
"PUUM",53,6.5033,1.5496,0.4532,0.3096,1141.5024,0.5741,0.3877
"RMNP",51,8.5327,1.1788,0.7258,0.5164,941.7443,0.5815,0.3904
"SCBI",83,28.4069,1.0531,0.9007,0.6283,1015.0614,0.4543,0.455
"SERC",80,13.1128,1.1556,0.7274,0.5078,1069.7534,0.4678,0.3956
"SJER",51,14.1248,1.1351,0.9152,0.6384,675.3959,0.4655,0.489
"SOAP",44,9.4989,1.1839,0.7772,0.5375,958.5062,0.5703,0.4647
"SRER",56,7.181,1.4598,0.6979,0.4807,670.8199,0.5309,0.4329
"STEI",50,10.1042,1.2452,0.6695,0.4652,798.8722,0.5255,0.4163
"TALL",82,18.8766,1.0817,0.7911,0.5542,1555.0788,0.6029,0.3045
"TEAK",32,10.1156,1.1724,0.8175,0.5695,720.2809,0.632,0.4448
"TREE",55,14.5326,1.1138,0.8564,0.6014,1057.6563,0.5588,0.4289
"UKFS",60,16.3163,1.1049,0.8145,0.5631,1077.1231,0.5074,0.4148
"UNDE",54,11.8707,1.1429,0.8749,0.6056,1244.3355,0.4538,0.475
"WOOD",28,9.7816,1.2026,0.9355,0.6354,399.7753,0.2764,0.5845
"WREF",48,8.1255,1.2633,0.621,0.4311,912.0076,0.6016,0.3586
"YELL",74,9.2946,1.3228,0.869,0.6111,656.3803,0.5535,0.4029
