"siteID","TD_Richness","TD_Shannon_Eff","TD_Simpson_Eff","TD_Beta_Bray","TD_Beta_Dispersion","PD_Faith","PD_Beta_Sorensen","PD_Beta_Dispersion","FD_FDis_m1_TopDown","FD_RaoQ_m1_TopDown","FD_Beta_Dispersion_m1_TopDown","FD_Beta_Turnover_m1_TopDown","FD_FDis_m2_TopDown","FD_RaoQ_m2_TopDown","FD_Beta_Dispersion_m2_TopDown","FD_Beta_Turnover_m2_TopDown"
"ABBY",48,2.8397,2.8961,0.5483,0.3845,759.0395,0.4251,0.4859,0.2921,0.4033,0.417,0.5102,0.4015,0.7649,0.5318,0.656
"BART",27,7.6947,1.237,0.7188,0.5064,809.2167,0.6805,0.3288,0.8605,1.0822,0.7697,1.123,1.8738,4.3406,1.5285,2.1592
"BLAN",65,18.7702,1.099,0.9371,0.6512,573.097,0.4975,0.408,NA,NA,NA,NA,NA,NA,NA,NA
"BONA",27,5.6893,1.4073,0.7585,0.5415,937.0858,0.673,0.3004,0.6716,0.9122,0.7486,0.9883,1.1132,2.3131,1.1577,1.5616
"CLBJ",58,7.442,1.4034,0.8582,0.5989,628.8028,0.4793,0.447,0.5796,0.8704,0.5916,0.9424,0.987,2.0964,1.2854,1.8697
"CPER",36,10.2863,1.1766,0.8891,0.6188,396.6834,0.3605,0.5864,NA,NA,NA,NA,NA,NA,NA,NA
"DEJU",33,9.8716,1.1967,0.7985,0.5567,858.3286,0.668,0.3472,NA,NA,NA,NA,NA,NA,NA,NA
"DELA",66,15.2674,1.0993,0.9084,0.6339,746.2741,0.4683,0.4555,0.6692,0.8883,1.2765,1.8394,1.1963,2.2864,1.7973,2.623
"DSNY",105,19.7351,1.1249,0.9349,0.6571,637.8571,0.5075,0.4703,NA,NA,NA,NA,NA,NA,NA,NA
"GRSM",59,13.8351,1.1551,0.8106,0.5675,1154.8322,0.4913,0.4288,0.9495,1.6405,0.7533,1.0723,1.4129,3.1973,1.053,1.544
"GUAN",65,24.1494,1.0793,0.8757,0.606,670.6567,0.288,0.5682,1.001,1.3372,0.797,1.2002,1.569,3.1871,1.2186,1.8344
"HARV",54,9.6078,1.2062,0.7267,0.513,1077.1902,0.6356,0.3484,0.6969,0.7362,0.7303,0.9997,1.2553,2.1865,1.1993,1.6669
"HEAL",24,12.5956,1.113,0.818,0.5667,744.7844,0.6525,0.388,NA,NA,NA,NA,NA,NA,NA,NA
"JERC",99,23.5472,1.1168,0.9673,0.6755,665.9785,0.4431,0.4677,NA,NA,NA,NA,NA,NA,NA,NA
"JORN",13,1.5255,5.3243,0.2922,0.1962,315.78,0.7435,0.2602,0.388,0.3168,0.2362,0.3755,0.6864,0.9494,0.3965,0.594
"KONZ",20,7.7137,1.2536,0.9705,0.5603,889.5206,0.2945,0.3235,NA,NA,NA,NA,NA,NA,NA,NA
"LAJA",15,7.0071,1.2152,0.9942,0.574,530.1822,0.253,0.3599,NA,NA,NA,NA,NA,NA,NA,NA
"LENO",67,12.3008,1.1182,0.8652,0.6103,859.583,0.5211,0.3886,0.9253,1.7729,0.8463,1.2951,1.5177,3.826,1.336,2.0339
"MLBS",61,13.548,1.1565,0.7807,0.5448,891.8932,0.5044,0.3882,0.6485,0.8513,0.6724,1.026,1.0655,1.8895,1.1298,1.6509
"MOAB",28,8.3779,1.2257,0.8735,0.6078,400.1241,0.4875,0.4681,0.5787,0.4859,1.2652,1.6805,1.023,1.3626,1.7567,2.3798
"NIWO",43,8.9832,1.1976,0.8291,0.5807,410.2404,0.4593,0.4834,0.4264,0.2553,0.5854,0.8716,0.6142,0.5397,0.859,1.2813
"ONAQ",27,3.5114,1.8334,0.7629,0.5441,513.0832,0.5689,0.5285,0.4577,0.4918,0.5591,0.8552,0.8739,1.7303,0.937,1.3716
"ORNL",72,25.2659,1.0591,0.9382,0.6532,971.7704,0.4317,0.5108,0.7683,1.1372,1.1988,1.7638,1.3287,3.0476,1.9097,2.7763
"OSBS",74,20.0951,1.1019,0.9449,0.6629,772.4877,0.5072,0.4742,NA,NA,NA,NA,NA,NA,NA,NA
"PUUM",42,3.4039,2.322,0.4509,0.3081,863.6477,0.5551,0.3976,0.5681,0.9228,0.7314,1.0095,0.7543,1.6247,0.9597,1.3294
"RMNP",45,8.5333,1.1925,0.7393,0.5247,811.2006,0.5569,0.4122,0.6217,0.7398,0.4755,0.687,1.0534,1.831,0.8733,1.2493
"SCBI",79,20.7448,1.09,0.9129,0.6403,713.9568,0.4323,0.481,0.6123,0.7413,0.7329,1.0877,1.1626,2.2025,1.2424,1.7861
"SERC",71,8.6358,1.3196,0.7974,0.5658,850.8702,0.4322,0.4459,0.5406,0.5614,0.4812,0.6605,1.0977,2.0083,0.9916,1.4155
"SJER",46,16.0169,1.1184,0.9226,0.6428,626.1239,0.4711,0.4785,NA,NA,NA,NA,NA,NA,NA,NA
"SOAP",40,8.331,1.224,0.7556,0.5231,801.0074,0.5932,0.485,0.6285,0.8622,0.8308,1.1192,1.1565,2.2132,1.363,1.9139
"SRER",53,8.2622,1.3581,0.6962,0.4788,654.8501,0.5336,0.4407,0.5766,0.8358,0.5705,0.7822,1.1356,2.481,1.1366,1.5589
"STEI",41,6.646,1.3807,0.7305,0.5117,649.6478,0.5082,0.4531,0.6116,0.674,0.5904,0.8556,0.9694,1.6366,1.0257,1.4702
"TALL",67,11.8722,1.1462,0.8108,0.5703,1232.4677,0.5624,0.3289,1.234,2.4941,1.4239,2.0449,1.699,4.5707,1.9682,2.8122
"TEAK",27,9.8514,1.1842,0.8619,0.6007,496.2951,0.4839,0.5327,0.5614,0.8085,0.6041,0.865,0.8668,1.9743,0.985,1.4103
"TREE",47,12.1249,1.1456,0.8922,0.6258,879.677,0.5026,0.4664,0.7746,1.1374,0.9239,1.3774,1.1914,2.4754,1.3626,2.0267
"UKFS",55,16.1382,1.1075,0.8745,0.6049,791.867,0.4886,0.4348,0.8081,1.3162,0.6346,0.99,1.449,3.2707,1.0954,1.6456
"UNDE",39,8.2881,1.2141,0.9157,0.6373,1003.1926,0.4455,0.5043,0.9627,1.5862,0.8725,1.2841,1.297,2.5826,1.4504,2.1032
"WOOD",28,9.7816,1.2026,0.9355,0.6354,399.7753,0.2764,0.5845,NA,NA,NA,NA,NA,NA,NA,NA
"WREF",46,6.0978,1.3783,0.6792,0.4795,801.1898,0.561,0.3814,0.3213,0.2897,0.3401,0.5054,0.4982,0.6477,0.523,0.7642
"YELL",71,10.5786,1.2705,0.8794,0.6193,636.3905,0.5559,0.4083,NA,NA,NA,NA,NA,NA,NA,NA
