"siteID","TD_Richness","TD_Shannon_Eff","TD_Simpson_Eff","TD_Beta_Bray","TD_Beta_Dispersion","PD_Faith","PD_Beta_Sorensen","PD_Beta_Dispersion"
"ABBY",48,2.8397,2.8961,0.5483,0.3845,759.0395,0.4251,0.4859
"BART",27,7.6947,1.237,0.7188,0.5064,809.2167,0.6805,0.3288
"BLAN",65,18.7702,1.099,0.9371,0.6512,573.097,0.4975,0.408
"BONA",27,5.6893,1.4073,0.7585,0.5415,937.0858,0.673,0.3004
"CLBJ",58,7.442,1.4034,0.8582,0.5989,628.8028,0.4793,0.447
"CPER",36,10.2863,1.1766,0.8891,0.6188,396.6834,0.3605,0.5864
"DEJU",33,9.8716,1.1967,0.7985,0.5567,858.3286,0.668,0.3472
"DELA",66,15.2674,1.0993,0.9084,0.6339,746.2741,0.4683,0.4555
"DSNY",105,19.7351,1.1249,0.9349,0.6571,637.8571,0.5075,0.4703
"GRSM",59,13.8351,1.1551,0.8106,0.5675,1154.8322,0.4913,0.4288
"GUAN",65,24.1494,1.0793,0.8757,0.606,670.6567,0.288,0.5682
"HARV",54,9.6078,1.2062,0.7267,0.513,1077.1902,0.6356,0.3484
"HEAL",24,12.5956,1.113,0.818,0.5667,744.7844,0.6525,0.388
"JERC",99,23.5472,1.1168,0.9673,0.6755,665.9785,0.4431,0.4677
"JORN",13,1.5255,5.3243,0.2922,0.1962,315.78,0.7435,0.2602
"KONZ",20,7.7137,1.2536,0.9705,0.5603,889.5206,0.2945,0.3235
"LAJA",15,7.0071,1.2152,0.9942,0.574,530.1822,0.253,0.3599
"LENO",67,12.3008,1.1182,0.8652,0.6103,859.583,0.5211,0.3886
"MLBS",61,13.548,1.1565,0.7807,0.5448,891.8932,0.5044,0.3882
"MOAB",28,8.3779,1.2257,0.8735,0.6078,400.1241,0.4875,0.4681
"NIWO",43,8.9832,1.1976,0.8291,0.5807,410.2404,0.4593,0.4834
"ONAQ",27,3.5114,1.8334,0.7629,0.5441,513.0832,0.5689,0.5285
"ORNL",72,25.2659,1.0591,0.9382,0.6532,971.7704,0.4317,0.5108
"OSBS",74,20.0951,1.1019,0.9449,0.6629,772.4877,0.5072,0.4742
"PUUM",42,3.4039,2.322,0.4509,0.3081,863.6477,0.5551,0.3976
"RMNP",45,8.5333,1.1925,0.7393,0.5247,811.2006,0.5569,0.4122
"SCBI",79,20.7448,1.09,0.9129,0.6403,713.9568,0.4323,0.481
"SERC",71,8.6358,1.3196,0.7974,0.5658,850.8702,0.4322,0.4459
"SJER",46,16.0169,1.1184,0.9226,0.6428,626.1239,0.4711,0.4785
"SOAP",40,8.331,1.224,0.7556,0.5231,801.0074,0.5932,0.485
"SRER",53,8.2622,1.3581,0.6962,0.4788,654.8501,0.5336,0.4407
"STEI",41,6.646,1.3807,0.7305,0.5117,649.6478,0.5082,0.4531
"TALL",67,11.8722,1.1462,0.8108,0.5703,1232.4677,0.5624,0.3289
"TEAK",27,9.8514,1.1842,0.8619,0.6007,496.2951,0.4839,0.5327
"TREE",47,12.1249,1.1456,0.8922,0.6258,879.677,0.5026,0.4664
"UKFS",55,16.1382,1.1075,0.8745,0.6049,791.867,0.4886,0.4348
"UNDE",39,8.2881,1.2141,0.9157,0.6373,1003.1926,0.4455,0.5043
"WOOD",28,9.7816,1.2026,0.9355,0.6354,399.7753,0.2764,0.5845
"WREF",46,6.0978,1.3783,0.6792,0.4795,801.1898,0.561,0.3814
"YELL",71,10.5786,1.2705,0.8794,0.6193,636.3905,0.5559,0.4083
