"siteID","n_plots","total_visible_stems","avg_visible_canopy_per_plot","pct_visible_tree_cover","visible_stems_per_ha"
"ABBY",22,414,225.19122,56.29781,470.45455
"BART",21,357,293.95371,73.48843,425
"BLAN",20,92,127.76146,31.94037,115
"BONA",20,326,142.12021,35.53005,407.5
"CLBJ",21,200,130.37083,32.59271,238.09524
"CPER",20,245,10.90382,2.72595,306.25
"DEJU",20,283,34.46686,8.61671,353.75
"DELA",23,216,313.4304,78.3576,234.78261
"DSNY",41,181,29.28029,7.32007,110.36585
"GRSM",20,234,205.10981,51.27745,292.5
"GUAN",20,108,101.79268,25.44817,135
"HARV",22,263,295.92828,73.98207,298.86364
"HEAL",21,65,13.55108,3.38777,77.38095
"JERC",32,40,53.44324,13.36081,31.25
"JORN",20,64,6.15631,1.53908,80
"KONZ",3,54,157.81398,39.45349,450
"LAJA",3,6,95.66137,23.91534,50
"LENO",21,176,355.69345,88.92336,209.52381
"MLBS",20,175,164.60069,41.15017,218.75
"MOAB",20,212,27.01423,6.75356,265
"NIWO",20,542,138.58381,34.64595,677.5
"ONAQ",20,753,61.08751,15.27188,941.25
"ORNL",26,327,163.16778,40.79195,314.42308
"OSBS",33,193,106.48533,26.62133,146.21212
"PUUM",20,308,226.91193,56.72798,385
"RMNP",20,714,165.62477,41.40619,892.5
"SCBI",25,142,228.60735,57.15184,142
"SERC",20,137,212.36024,53.09006,171.25
"SJER",20,84,42.16377,10.54094,105
"SOAP",18,151,183.93893,45.98473,209.72222
"SRER",20,201,68.36018,17.09004,251.25
"STEI",21,336,280.09411,70.02353,400
"TALL",21,224,311.46198,77.86549,266.66667
"TEAK",20,167,104.96659,26.24165,208.75
"TREE",24,286,197.67786,49.41947,297.91667
"UKFS",20,182,234.10648,58.52662,227.5
"UNDE",20,236,162.88868,40.72217,295
"WOOD",12,0,0,0,0
"WREF",20,271,229.03586,57.25897,338.75
"YELL",21,435,75.91886,18.97972,517.85714
