"siteID","plotID","decimalLatitude","decimalLongitude","nlcdClass"
"BART","BART_006",44.060511,-71.310912,"deciduousForest"
"BART","BART_024",44.052775,-71.263787,"evergreenForest"
"BART","BART_023",44.049319,-71.263643,"evergreenForest"
"BART","BART_001",44.047079,-71.306661,"mixedForest"
"BART","BART_002",44.035076,-71.272844,"deciduousForest"
"BART","BART_004",44.041571,-71.28692,"mixedForest"
"BART","BART_003",44.055247,-71.263146,"deciduousForest"
"BART","BART_012",44.046097,-71.316312,"deciduousForest"
"BART","BART_062",44.057361,-71.305891,"deciduousForest"
"BART","BART_015",44.042915,-71.27314,"mixedForest"
"BART","BART_028",44.054076,-71.306536,"evergreenForest"
"BART","BART_007",44.049697,-71.298504,"mixedForest"
"BART","BART_011",44.050004,-71.296272,"mixedForest"
"BART","BART_018",44.058473,-71.277866,"mixedForest"
"BART","BART_031",44.055537,-71.305098,"evergreenForest"
"BART","BART_068",44.052446,-71.309459,"mixedForest"
"BART","BART_066",44.056764,-71.310402,"mixedForest"
"BART","BART_029",44.057748,-71.28831,"evergreenForest"
"BART","BART_025",44.059386,-71.313142,"evergreenForest"
"BART","BART_013",44.041737,-71.277598,"deciduousForest"
"BART","BART_019",44.069366,-71.286161,"mixedForest"
"BART","BART_026",44.061261,-71.313922,"evergreenForest"
"BART","BART_005",44.054614,-71.282188,"mixedForest"
"BART","BART_032",44.0675,-71.2876,"deciduousForest"
"BART","BART_010",44.050073,-71.26668,"deciduousForest"
"BART","BART_027",44.057941,-71.261742,"evergreenForest"
"BART","BART_008",44.058,-71.2588,"mixedForest"
"BART","BART_080",44.047374,-71.319728,"deciduousForest"
"BART","BART_079",44.0449,-71.320829,"deciduousForest"
"BART","BART_030",44.053801,-71.308071,"evergreenForest"
"BART","BART_040",44.06576,-71.29199,"deciduousForest"
"BART","BART_016",44.051234,-71.288463,"mixedForest"
"BART","BART_071",44.067944,-71.290624,"mixedForest"
"BART","BART_036",44.062082,-71.285878,"deciduousForest"
"BART","BART_081",44.060682,-71.262947,"mixedForest"
"HARV","HARV_027",42.43035,-72.253258,"evergreenForest"
"HARV","HARV_006",42.403087,-72.25372,"deciduousForest"
"HARV","HARV_013",42.392282,-72.254598,"evergreenForest"
"HARV","HARV_023",42.414314,-72.226622,"evergreenForest"
"HARV","HARV_010",42.424723,-72.254599,"mixedForest"
"HARV","HARV_001",42.424246,-72.258285,"deciduousForest"
"HARV","HARV_004",42.427091,-72.229737,"mixedForest"
"HARV","HARV_002",42.478565,-72.259572,"deciduousForest"
"HARV","HARV_030",42.423045,-72.218966,"evergreenForest"
"HARV","HARV_012",42.429486,-72.239802,"deciduousForest"
"HARV","HARV_014",42.471449,-72.265709,"mixedForest"
"HARV","HARV_031",42.467507,-72.260079,"evergreenForest"
"HARV","HARV_059",42.480806,-72.275442,"mixedForest"
"HARV","HARV_005",42.489469,-72.275158,"deciduousForest"
"HARV","HARV_022",42.434188,-72.198776,"evergreenForest"
"HARV","HARV_058",42.469743,-72.25227,"mixedForest"
"HARV","HARV_011",42.455924,-72.238278,"deciduousForest"
"HARV","HARV_033",42.538302,-72.175607,"deciduousForest"
"HARV","HARV_008",42.444557,-72.226082,"deciduousForest"
"HARV","HARV_026",42.410762,-72.247271,"evergreenForest"
"HARV","HARV_018",42.432275,-72.232028,"deciduousForest"
"HARV","HARV_021",42.45243,-72.250472,"evergreenForest"
"HARV","HARV_028",42.431817,-72.225087,"mixedForest"
"HARV","HARV_029",42.466458,-72.237434,"evergreenForest"
"HARV","HARV_025",42.475428,-72.273927,"mixedForest"
"HARV","HARV_024",42.459993,-72.25087,"woodyWetlands"
"HARV","HARV_015",42.538822,-72.182055,"deciduousForest"
"HARV","HARV_016",42.45847,-72.231992,"woodyWetlands"
"HARV","HARV_017",42.481741,-72.26708,"deciduousForest"
"HARV","HARV_020",42.436756,-72.228878,"woodyWetlands"
"HARV","HARV_063",42.444983,-72.22125,"woodyWetlands"
"HARV","HARV_035",42.539966,-72.178072,"evergreenForest"
"HARV","HARV_034",42.535686,-72.177968,"evergreenForest"
"BLAN","BLAN_013",39.080851,-77.96809,"deciduousForest"
"BLAN","BLAN_018",39.081529,-77.962499,"deciduousForest"
"BLAN","BLAN_032",39.058572,-78.073305,"shrubScrub"
"BLAN","BLAN_012",39.082046,-77.961088,"deciduousForest"
"BLAN","BLAN_015",39.087544,-77.954623,"deciduousForest"
"BLAN","BLAN_011",39.087243,-77.974013,"deciduousForest"
"BLAN","BLAN_004",39.087516,-77.962567,"pastureHay"
"BLAN","BLAN_019",39.087842,-77.966033,"pastureHay"
"BLAN","BLAN_006",39.083999,-77.963812,"pastureHay"
"BLAN","BLAN_016",39.08643,-77.96365,"pastureHay"
"BLAN","BLAN_003",39.078872,-77.963659,"pastureHay"
"BLAN","BLAN_010",39.086352,-77.960564,"pastureHay"
"BLAN","BLAN_008",39.084853,-77.965124,"pastureHay"
"BLAN","BLAN_014",39.081458,-77.958693,"pastureHay"
"BLAN","BLAN_031",39.058809,-78.070547,"cultivatedCrops"
"BLAN","BLAN_007",39.085485,-77.969265,"deciduousForest"
"BLAN","BLAN_001",39.087919,-77.958389,"deciduousForest"
"BLAN","BLAN_033",39.058229,-78.069151,"cultivatedCrops"
"BLAN","BLAN_017",39.086353,-77.970992,"deciduousForest"
"BLAN","BLAN_005",39.087456,-77.971942,"deciduousForest"
"BLAN","BLAN_009",39.086824,-77.95775,"deciduousForest"
"BLAN","BLAN_002",39.092296,-77.980761,"pastureHay"
"BLAN","BLAN_020",39.100938,-77.980394,"pastureHay"
"BLAN","BLAN_068",39.087809,-77.964303,"pastureHay"
"SCBI","SCBI_023",38.886307,-78.143725,"deciduousForest"
"SCBI","SCBI_021",38.900853,-78.15288,"deciduousForest"
"SCBI","SCBI_019",38.900642,-78.175704,"deciduousForest"
"SCBI","SCBI_004",38.896938,-78.146458,"deciduousForest"
"SCBI","SCBI_043",38.890577,-78.151569,"pastureHay"
"SCBI","SCBI_008",38.887763,-78.147164,"deciduousForest"
"SCBI","SCBI_022",38.882552,-78.123175,"deciduousForest"
"SCBI","SCBI_015",38.884381,-78.141069,"deciduousForest"
"SCBI","SCBI_002",38.895214,-78.142704,"deciduousForest"
"SCBI","SCBI_005",38.900538,-78.16186,"deciduousForest"
"SCBI","SCBI_016",38.904234,-78.158647,"deciduousForest"
"SCBI","SCBI_003",38.883308,-78.120371,"deciduousForest"
"SCBI","SCBI_017",38.879363,-78.135381,"deciduousForest"
"SCBI","SCBI_011",38.879734,-78.139901,"deciduousForest"
"SCBI","SCBI_013",38.874379,-78.163985,"deciduousForest"
"SCBI","SCBI_041",38.891304,-78.15949,"pastureHay"
"SCBI","SCBI_067",38.893949,-78.135536,"deciduousForest"
"SCBI","SCBI_037",38.892172,-78.161528,"pastureHay"
"SCBI","SCBI_034",38.89106,-78.160512,"pastureHay"
"SCBI","SCBI_014",38.867075,-78.163552,"deciduousForest"
"SCBI","SCBI_018",38.870965,-78.157532,"deciduousForest"
"SCBI","SCBI_007",38.884909,-78.130305,"deciduousForest"
"SCBI","SCBI_010",38.884776,-78.125148,"deciduousForest"
"SCBI","SCBI_035",38.882888,-78.168813,"pastureHay"
"SCBI","SCBI_039",38.895506,-78.165196,"pastureHay"
"SCBI","SCBI_033",38.888917,-78.161302,"pastureHay"
"SCBI","SCBI_040",38.883962,-78.168759,"pastureHay"
"SCBI","SCBI_042",38.880756,-78.169936,"pastureHay"
"SCBI","SCBI_006",38.897609,-78.152007,"pastureHay"
"SCBI","SCBI_012",38.889095,-78.168896,"pastureHay"
"SCBI","SCBI_038",38.881536,-78.168857,"pastureHay"
"SCBI","SCBI_047",38.894257,-78.137217,"deciduousForest"
"SCBI","SCBI_045",38.890566,-78.139432,"deciduousForest"
"SCBI","SCBI_044",38.88929,-78.165454,"pastureHay"
"SCBI","SCBI_071",38.887955,-78.12224,"deciduousForest"
"SERC","SERC_025",38.88641,-76.551826,"deciduousForest"
"SERC","SERC_006",38.88109,-76.547314,"deciduousForest"
"SERC","SERC_012",38.878648,-76.560977,"deciduousForest"
"SERC","SERC_010",38.909676,-76.546253,"deciduousForest"
"SERC","SERC_015",38.898957,-76.55556,"deciduousForest"
"SERC","SERC_009",38.897571,-76.561169,"deciduousForest"
"SERC","SERC_021",38.896415,-76.560181,"deciduousForest"
"SERC","SERC_002",38.895036,-76.558917,"deciduousForest"
"SERC","SERC_011",38.898525,-76.551056,"deciduousForest"
"SERC","SERC_026",38.901228,-76.55059,"deciduousForest"
"SERC","SERC_016",38.899455,-76.547547,"deciduousForest"
"SERC","SERC_022",38.875454,-76.554591,"deciduousForest"
"SERC","SERC_046",38.891258,-76.551167,"deciduousForest"
"SERC","SERC_013",38.871792,-76.544434,"deciduousForest"
"SERC","SERC_001",38.868693,-76.533585,"deciduousForest"
"SERC","SERC_044",38.890803,-76.553986,"deciduousForest"
"SERC","SERC_003",38.899872,-76.543752,"deciduousForest"
"SERC","SERC_045",38.880982,-76.55872,"deciduousForest"
"SERC","SERC_004",38.87241,-76.554055,"deciduousForest"
"SERC","SERC_019",38.871775,-76.550692,"deciduousForest"
"SERC","SERC_014",38.875995,-76.541096,"deciduousForest"
"SERC","SERC_017",38.876039,-76.535565,"deciduousForest"
"SERC","SERC_024",38.865796,-76.528949,"deciduousForest"
"SERC","SERC_005",38.893246,-76.547604,"deciduousForest"
"SERC","SERC_007",38.873795,-76.539828,"cultivatedCrops"
"SERC","SERC_008",38.871838,-76.524078,"cultivatedCrops"
"SERC","SERC_028",38.871746,-76.522041,"cultivatedCrops"
"SERC","SERC_018",38.872927,-76.531608,"cultivatedCrops"
"SERC","SERC_029",38.871199,-76.528949,"cultivatedCrops"
"SERC","SERC_030",38.910052,-76.548984,"cultivatedCrops"
"SERC","SERC_027",38.87364,-76.543648,"cultivatedCrops"
"SERC","SERC_023",38.875233,-76.535264,"cultivatedCrops"
"SERC","SERC_020",38.870108,-76.535927,"cultivatedCrops"
"SERC","SERC_068",38.88011,-76.556735,"deciduousForest"
"SERC","SERC_047",38.885634,-76.560193,"deciduousForest"
"DSNY","DSNY_010",28.11859,-81.435161,"woodyWetlands"
"DSNY","DSNY_001",28.0967,-81.418579,"woodyWetlands"
"DSNY","DSNY_034",28.063937,-81.418449,"pastureHay"
"DSNY","DSNY_039",28.07231,-81.423976,"pastureHay"
"DSNY","DSNY_074",28.066655,-81.416933,"pastureHay"
"DSNY","DSNY_025",28.071776,-81.42062,"pastureHay"
"DSNY","DSNY_037",28.044794,-81.392123,"pastureHay"
"DSNY","DSNY_005",28.039641,-81.393323,"woodyWetlands"
"DSNY","DSNY_016",28.043948,-81.393638,"pastureHay"
"DSNY","DSNY_021",28.052638,-81.393374,"pastureHay"
"DSNY","DSNY_022",28.083234,-81.39226,"woodyWetlands"
"DSNY","DSNY_036",28.060503,-81.384553,"pastureHay"
"DSNY","DSNY_038",28.058337,-81.389433,"pastureHay"
"DSNY","DSNY_033",28.07808,-81.398665,"woodyWetlands"
"DSNY","DSNY_008",28.046662,-81.401888,"woodyWetlands"
