siteID,FD.u.qDT_unscaled,FD.u.qDTM_unscaled,FD.u.qEt_unscaled,FD.u.M_unscaled,FD.u.M.prime_unscaled,FD.u.nsp_unscaled,FD.nsp_unscaled,FD.St_unscaled,FD.M.beta_unscaled,FD.M.beta.prime_unscaled,FD.qDT.beta_unscaled,FD.qDTM.beta_unscaled,FD.Et.beta_unscaled,PD.u.qDT_unscaled,PD.u.qDTM_unscaled,PD.u.qEt_unscaled,PD.u.M_unscaled,PD.u.M.prime_unscaled,PD.u.nsp_unscaled,PD.nsp_unscaled,PD.St_unscaled,PD.M.beta_unscaled,PD.M.beta.prime_unscaled,PD.qDT.beta_unscaled,PD.qDTM.beta_unscaled,PD.Et.beta_unscaled,FD.u.qDT_scaled,FD.u.qDTM_scaled,FD.u.qEt_scaled,FD.u.M_scaled,FD.u.M.prime_scaled,FD.u.nsp_scaled,FD.nsp_scaled,FD.St_scaled,FD.M.beta_scaled,FD.M.beta.prime_scaled,FD.qDT.beta_scaled,FD.qDTM.beta_scaled,FD.Et.beta_scaled,PD.u.qDT_scaled,PD.u.qDTM_scaled,PD.u.qEt_scaled,PD.u.M_scaled,PD.u.M.prime_scaled,PD.u.nsp_scaled,PD.nsp_scaled,PD.St_scaled,PD.M.beta_scaled,PD.M.beta.prime_scaled,PD.qDT.beta_scaled,PD.qDTM.beta_scaled,PD.Et.beta_scaled
ABBY,4.0774,2.2291,0.6689,0.3014,0.3606,6.0952,128,128,0.0646,0.0678,17.2891,2.1168,0.8233,5.65,2.8433,0.5919,0.3263,0.3644,9.5455,210,210,0.0787,0.0825,20.6812,2.6285,0.9401,2.9584,1.5429,0.5974,0.1835,0.2299,4.9524,104,104,0.0554,0.0582,13.2191,1.7328,0.6295,4.0724,2.215,0.527,0.2983,0.3427,7.7273,170,170,0.1263,0.1323,19.8827,3.5111,0.9038
BART,4.2937,1.9768,0.6262,0.2275,0.2663,6.8571,144,144,0.0966,0.1015,16.5325,2.5978,0.7873,4.592,2.4344,0.588,0.3124,0.3582,7.8095,164,164,0.1583,0.1662,16.5452,3.6195,0.7879,3.6513,1.7359,0.639,0.2015,0.2443,5.7143,120,120,0.0884,0.0928,16.948,2.4975,0.807,3.4329,2.0442,0.5186,0.3042,0.3583,6.619,139,139,0.1602,0.1682,16.6841,3.6727,0.7945
BLAN,4.6065,1.8337,0.5007,0.181,0.203,9.2,92,92,0.0114,0.0126,8.7056,1.099,0.8706,3.3982,1.4425,0.489,0.1302,0.1521,6.95,139,139,0.0912,0.096,16.2464,2.482,0.8123,4.7848,2.1859,0.6646,0.2479,0.2878,7.2,72,72,0.0446,0.0496,9.6065,1.4288,0.9607,3.2152,1.5586,0.5496,0.1737,0.2096,5.85,117,117,0.1144,0.1204,17.7628,3.0325,0.8881
BONA,2.9038,1.994,0.717,0.3423,0.4545,4.05,81,81,0.1527,0.1607,16.9494,3.5881,0.8475,3.6082,2.3868,0.5727,0.3843,0.4569,6.3,126,126,0.1194,0.1257,16.4336,2.963,0.8217,2.5432,1.5858,0.7064,0.2303,0.3189,3.6,72,72,0.2177,0.2291,15.6026,4.3959,0.7801,2.966,1.8337,0.5158,0.2811,0.3403,5.75,115,115,0.1871,0.197,15.6903,3.9364,0.7845
CLBJ,3.1659,1.6035,0.695,0.1906,0.2442,4.5556,82,82,0.0679,0.0719,16.2581,2.1033,0.9032,3.8128,2.1218,0.5522,0.2942,0.3441,6.9048,145,145,0.1039,0.1091,18.9399,2.9676,0.9019,2.8429,1.4233,0.6789,0.1489,0.1956,4.1875,67,67,0.0435,0.0464,13.6833,1.5952,0.8552,3.1512,1.7674,0.5211,0.2435,0.2918,6.0476,127,127,0.1017,0.1067,17.0361,2.732,0.8112
CPER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8745,2.0382,0.7564,0.3612,0.4902,3.8,76,76,0.3159,0.3325,17.2844,6.4597,0.8642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.838,2.0028,0.7568,0.3534,0.4818,3.75,75,75,0.3221,0.339,17.1643,6.5284,0.8582
DEJU,2.9612,1.8232,0.5683,0.278,0.344,5.2105,99,99,0.1506,0.159,13.5997,3.0483,0.7158,3.4203,2.0245,0.4851,0.2995,0.3491,7.05,141,141,0.1483,0.1561,14.7657,3.1896,0.7383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3447,1.945,0.5717,0.2825,0.3408,5.85,117,117,0.1817,0.1912,15.654,3.844,0.7827
DELA,7.0068,2.1957,0.6458,0.1707,0.188,10.85,217,217,0.0342,0.036,17.7987,1.6095,0.8899,9.2669,3.5102,0.5823,0.2709,0.289,15.913,366,366,0.0317,0.0331,21.9559,1.695,0.9546,4.5005,1.6483,0.6041,0.1441,0.1664,7.45,149,149,0.0722,0.076,17.7285,2.2793,0.8864,4.8974,2.031,0.4655,0.2105,0.2326,10.5217,242,242,0.1111,0.1161,18.1358,3.0145,0.7885
DSNY,3.0053,1.5395,0.6746,0.1795,0.2315,4.4545,98,98,0.1754,0.1838,19.5731,4.4334,0.8897,3.0513,1.5787,0.5633,0.1897,0.2326,5.4167,195,195,0.1604,0.165,30.5435,5.8994,0.8484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6577,1.493,0.5729,0.1855,0.2365,4.6389,167,167,0.2774,0.2853,27.9665,8.7578,0.7768
GRSM,6.1733,1.9303,0.6267,0.1507,0.1677,9.85,197,197,0.0278,0.0293,17.6951,1.4918,0.8848,8.0609,3.9182,0.5167,0.362,0.3868,15.6,312,312,0.0805,0.0847,17.9518,2.4445,0.8976,5.0312,1.7557,0.6062,0.1502,0.1708,8.3,166,166,0.0396,0.0416,17.7899,1.7038,0.8895,5.8323,2.849,0.4629,0.317,0.3444,12.6,252,252,0.0739,0.0778,17.8945,2.322,0.8947
GUAN,8.4976,3.1207,0.5229,0.2496,0.2659,16.25,325,325,0.0426,0.0449,17.5314,1.747,0.8766,11.66,9.193,0.5182,0.7027,0.7353,22.5,450,450,0.0781,0.0822,18.4918,2.4448,0.9246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1717,6.6087,0.4893,0.6863,0.7301,16.7,334,334,0.1259,0.1325,18.8364,3.3706,0.9418
HARV,4.0829,1.7999,0.5253,0.1959,0.2248,7.7727,171,171,0.0514,0.0538,18.1397,1.9323,0.8245,5.0018,3.2028,0.451,0.4404,0.484,11.0909,244,244,0.1064,0.1114,18.9621,3.0167,0.8619,4.0084,1.7148,0.6532,0.1783,0.213,6.1364,135,135,0.0574,0.0602,18.3492,2.0538,0.8341,4.4192,2.5324,0.4861,0.3468,0.3896,9.0909,200,200,0.1177,0.1233,17.6665,3.0798,0.803
HEAL,2.9112,1.7474,0.7278,0.2567,0.3423,4,72,72,0.1207,0.1278,14.0725,2.699,0.7818,3.9821,2.0862,0.6194,0.2728,0.323,6.4286,135,135,0.1459,0.1532,16.4535,3.4012,0.7835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6626,1.9507,0.6518,0.2596,0.3158,5.619,118,118,0.1976,0.2075,16.3279,4.2261,0.7775
JERC,5.1415,1.8812,0.6501,0.1714,0.1962,7.9091,87,87,0.0342,0.0376,9.2285,1.3156,0.839,3.9086,2.1811,0.5056,0.3022,0.3471,7.7308,201,201,0.1023,0.1063,21.8188,3.2311,0.8392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1501,1.6137,0.4953,0.1948,0.2312,6.36,159,159,0.3757,0.3914,17.596,7.6112,0.7038
JORN,2.18,1.3747,0.9343,0.1719,0.3008,2.3333,21,21,0.053,0.0597,7.4796,1.3967,0.8311,1.7295,1.1709,0.8437,0.0988,0.1929,2.05,41,41,0.0453,0.0476,11.4819,1.5196,0.5741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6468,1.0947,0.8445,0.0575,0.1181,1.95,39,39,0.014,0.0147,12.1726,1.1698,0.6086
KONZ,3.0549,2.0409,0.7637,0.3407,0.4543,4,8,8,0.0404,0.0807,2,1.0807,1,5.5253,2.5242,0.6375,0.2759,0.3118,8.6667,26,26,0.0848,0.1272,2.9871,1.2534,0.9957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5046,2.0728,0.4206,0.3061,0.3479,8.3333,25,25,0.0835,0.1253,2.9015,1.2423,0.9672
LAJA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0371,4.8369,0.5842,0.6356,0.7037,10.3333,31,31,0.1361,0.2042,2.854,1.3885,0.9513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9683,3.3898,0.496,0.6022,0.6883,8,24,24,0.1773,0.2659,2.9167,1.5171,0.9722
LENO,5.5194,1.9939,0.6586,0.1801,0.2045,8.381,176,176,0.0279,0.0292,18.6774,1.5203,0.8894,8.8421,3.3096,0.5914,0.2612,0.2799,14.9524,314,314,0.027,0.0284,19.418,1.525,0.9247,4.2611,1.7919,0.5965,0.1859,0.2161,7.1429,150,150,0.0344,0.0361,19.3288,1.665,0.9204,5.2762,2.0726,0.4578,0.2033,0.2226,11.5238,242,242,0.0454,0.0477,17.8308,1.8102,0.8491
MLBS,4.9563,1.7965,0.7183,0.1607,0.1879,6.9,138,138,0.051,0.0537,16.5951,1.846,0.8298,6.9793,3.0985,0.594,0.3007,0.3286,11.75,235,235,0.0767,0.0807,17.0691,2.3089,0.8535,4.3802,1.6115,0.6791,0.1396,0.1652,6.45,129,129,0.0413,0.0435,17.2691,1.7129,0.8635,5.3024,2.3409,0.5002,0.2529,0.2792,10.6,212,212,0.0502,0.0528,16.5962,1.8327,0.8298
MOAB,2.2752,1.2695,0.8699,0.1185,0.1918,2.6154,34,34,0.3178,0.3442,10.0898,4.206,0.7761,2.7034,1.4583,0.6844,0.1695,0.227,3.95,79,79,0.2298,0.2419,14.0612,4.2313,0.7031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8521,1.5498,0.722,0.1928,0.2581,3.95,79,79,0.2564,0.2699,14.7041,4.7708,0.7352
NIWO,2.5503,1.2776,0.8139,0.1089,0.1599,3.1333,47,47,0.1962,0.2102,10.637,3.0866,0.7091,2.2375,1.321,0.8443,0.1435,0.2304,2.65,53,53,0.3477,0.366,14.9209,6.1881,0.746,2.4875,1.3084,0.8099,0.124,0.1838,3.0714,43,43,0.1325,0.1427,9.7998,2.2985,0.7,2.1532,1.1948,0.8613,0.0905,0.1508,2.5,50,50,0.3883,0.4087,14.7269,6.7178,0.7363
ONAQ,2.0882,1.3721,0.9281,0.1782,0.3207,2.25,45,45,0.1525,0.1606,15.4504,3.3567,0.7725,2.6807,1.6713,0.5892,0.2504,0.321,4.55,91,91,0.1365,0.1437,14.95,3.0402,0.7475,2.0594,1.229,0.9505,0.1112,0.2065,2.1667,39,39,0.271,0.287,13.8143,4.7443,0.7675,2.7694,1.3895,0.6516,0.1406,0.1839,4.25,85,85,0.3673,0.3866,13.5778,5.9871,0.6789
ORNL,5.1758,2.0471,0.5059,0.2023,0.2242,10.2308,266,266,0.0774,0.0805,20.508,2.5882,0.7888,6.7226,3.1335,0.4938,0.3174,0.3425,13.6154,354,354,0.0697,0.0725,21.6405,2.5087,0.8323,4.2077,1.7586,0.5372,0.1803,0.2067,7.8333,188,188,0.0998,0.1042,18.7694,2.8737,0.7821,4.9084,2.5026,0.4871,0.3061,0.3399,10.0769,262,262,0.1301,0.1353,19.9458,3.5956,0.7671
OSBS,3.6717,2.0249,0.6269,0.2791,0.3366,5.8571,123,123,0.1207,0.1268,18.0426,3.178,0.8592,3.2196,1.932,0.511,0.2895,0.3441,6.3,189,189,0.1027,0.1062,25.2081,3.5878,0.8403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4093,1.6639,0.5126,0.2755,0.35,4.7,141,141,0.2177,0.2252,22.9125,5.987,0.7638
PUUM,3.4698,1.8457,0.7229,0.2437,0.3079,4.8,96,96,0.0967,0.1018,15.7837,2.5265,0.7892,5.2789,2.6639,0.5738,0.3152,0.3536,9.2,184,184,0.0742,0.0781,17.5782,2.3044,0.8789,2.8623,1.4853,0.609,0.1696,0.2154,4.7,94,94,0.0768,0.0809,11.4167,1.877,0.5708,3.8247,1.5475,0.45,0.1432,0.1622,8.5,170,170,0.034,0.0358,12.864,1.4373,0.6432
