"siteID","FD.u.qDT","FD.u.qDTM","FD.u.qEt","FD.u.M","FD.u.M.prime","FD.u.nsp","FD.nsp","FD.St","FD.M.beta","FD.M.beta.prime","FD.qDT.beta","FD.qDTM.beta","FD.Et.beta","PD.u.qDT","PD.u.qDTM","PD.u.qEt","PD.u.M","PD.u.M.prime","PD.u.nsp","PD.nsp","PD.St","PD.M.beta","PD.M.beta.prime","PD.qDT.beta","PD.qDTM.beta","PD.Et.beta"
"BART",3.6513,1.7359,0.639,0.2015,0.2443,5.7143,120,120,0.0884,0.0928,16.948,2.4975,0.807,3.4329,2.0442,0.5186,0.3042,0.3583,6.619,139,139,0.1602,0.1682,16.6841,3.6727,0.7945
"HARV",4.0084,1.7148,0.6532,0.1783,0.213,6.1364,135,135,0.0574,0.0602,18.3492,2.0538,0.8341,4.4192,2.5324,0.4861,0.3468,0.3896,9.0909,200,200,0.1177,0.1233,17.6665,3.0798,0.803
"BLAN",4.7848,2.1859,0.6646,0.2479,0.2878,7.2,72,72,0.0446,0.0496,9.6065,1.4288,0.9607,3.2152,1.5586,0.5496,0.1737,0.2096,5.85,117,117,0.1144,0.1204,17.7628,3.0325,0.8881
"SCBI",4.2284,1.6041,0.5955,0.1429,0.1663,7.1,142,142,0.0688,0.0724,18.3501,2.2621,0.9175,4.6111,1.9186,0.4969,0.1992,0.2233,9.28,232,232,0.0932,0.0971,23.0871,3.1522,0.9235
"SERC",3.837,1.5847,0.6395,0.1524,0.1829,6,102,102,0.05,0.0531,14.579,1.7284,0.8576,4.0915,1.8122,0.4703,0.1985,0.2243,8.7,174,174,0.0778,0.0819,18.0456,2.4045,0.9023
"DSNY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6577,1.493,0.5729,0.1855,0.2365,4.6389,167,167,0.2774,0.2853,27.9665,8.7578,0.7768
"JERC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1501,1.6137,0.4953,0.1948,0.2312,6.36,159,159,0.3757,0.3914,17.596,7.6112,0.7038
"OSBS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4093,1.6639,0.5126,0.2755,0.35,4.7,141,141,0.2177,0.2252,22.9125,5.987,0.7638
"GUAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1717,6.6087,0.4893,0.6863,0.7301,16.7,334,334,0.1259,0.1325,18.8364,3.3706,0.9418
"LAJA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9683,3.3898,0.496,0.6022,0.6883,8,24,24,0.1773,0.2659,2.9167,1.5171,0.9722
"STEI",3.2208,1.5898,0.6059,0.1831,0.2256,5.3158,101,101,0.0771,0.0814,14.604,2.1264,0.7686,3.4507,1.8786,0.486,0.2546,0.2964,7.1,142,142,0.1221,0.1285,15.3494,2.8737,0.7675
"TREE",2.9426,1.5993,0.6347,0.2037,0.2597,4.6364,102,102,0.1548,0.1622,20.0528,4.105,0.9115,3.1756,1.8056,0.518,0.2537,0.3031,6.1304,141,141,0.2349,0.2456,18.4872,5.3428,0.8038
"UNDE",4.0088,2.1099,0.5727,0.2769,0.323,7,84,84,0.0994,0.1085,10.7987,2.0735,0.8999,2.8317,1.7952,0.4212,0.2808,0.3299,6.7222,121,121,0.1793,0.1899,13.5598,3.4314,0.7533
"KONZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5046,2.0728,0.4206,0.3061,0.3479,8.3333,25,25,0.0835,0.1253,2.9015,1.2423,0.9672
"UKFS",4.2753,1.7746,0.6857,0.1812,0.2158,6.2353,106,106,0.0559,0.0594,14.4334,1.8066,0.849,4.4583,1.8791,0.4954,0.1972,0.2218,9,180,180,0.0755,0.0795,18.3907,2.3893,0.9195
"GRSM",5.0312,1.7557,0.6062,0.1502,0.1708,8.3,166,166,0.0396,0.0416,17.7899,1.7038,0.8895,5.8323,2.849,0.4629,0.317,0.3444,12.6,252,252,0.0739,0.0778,17.8945,2.322,0.8947
"MLBS",4.3802,1.6115,0.6791,0.1396,0.1652,6.45,129,129,0.0413,0.0435,17.2691,1.7129,0.8635,5.3024,2.3409,0.5002,0.2529,0.2792,10.6,212,212,0.0502,0.0528,16.5962,1.8327,0.8298
"ORNL",4.2077,1.7586,0.5372,0.1803,0.2067,7.8333,188,188,0.0998,0.1042,18.7694,2.8737,0.7821,4.9084,2.5026,0.4871,0.3061,0.3399,10.0769,262,262,0.1301,0.1353,19.9458,3.5956,0.7671
"DELA",4.5005,1.6483,0.6041,0.1441,0.1664,7.45,149,149,0.0722,0.076,17.7285,2.2793,0.8864,4.8974,2.031,0.4655,0.2105,0.2326,10.5217,242,242,0.1111,0.1161,18.1358,3.0145,0.7885
"LENO",4.2611,1.7919,0.5965,0.1859,0.2161,7.1429,150,150,0.0344,0.0361,19.3288,1.665,0.9204,5.2762,2.0726,0.4578,0.2033,0.2226,11.5238,242,242,0.0454,0.0477,17.8308,1.8102,0.8491
"TALL",4.3989,2.18,0.5219,0.2682,0.3044,8.4286,177,177,0.1474,0.1548,17.2081,3.5365,0.8194,5.0746,2.6832,0.4246,0.3317,0.362,11.9524,251,251,0.1537,0.1614,17.2624,3.6529,0.822
"CPER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.838,2.0028,0.7568,0.3534,0.4818,3.75,75,75,0.3221,0.339,17.1643,6.5284,0.8582
"RMNP",3.0296,1.4533,0.7389,0.1496,0.1979,4.1,82,82,0.0702,0.0739,17.4193,2.2235,0.871,2.9378,1.568,0.5876,0.1933,0.2417,5,100,100,0.1378,0.145,13.5614,2.8687,0.6781
"CLBJ",2.8429,1.4233,0.6789,0.1489,0.1956,4.1875,67,67,0.0435,0.0464,13.6833,1.5952,0.8552,3.1512,1.7674,0.5211,0.2435,0.2918,6.0476,127,127,0.1017,0.1067,17.0361,2.732,0.8112
"YELL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8378,1.339,0.6144,0.1194,0.1525,4.619,97,97,0.4511,0.4736,15.2808,7.8931,0.7277
"MOAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8521,1.5498,0.722,0.1928,0.2581,3.95,79,79,0.2564,0.2699,14.7041,4.7708,0.7352
"NIWO",2.4875,1.3084,0.8099,0.124,0.1838,3.0714,43,43,0.1325,0.1427,9.7998,2.2985,0.7,2.1532,1.1948,0.8613,0.0905,0.1508,2.5,50,50,0.3883,0.4087,14.7269,6.7178,0.7363
"JORN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6468,1.0947,0.8445,0.0575,0.1181,1.95,39,39,0.014,0.0147,12.1726,1.1698,0.6086
"SRER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4593,1.5747,0.6123,0.1661,0.2019,5.65,113,113,0.0447,0.0471,15.74,1.7039,0.787
"ONAQ",2.0594,1.229,0.9505,0.1112,0.2065,2.1667,39,39,0.271,0.287,13.8143,4.7443,0.7675,2.7694,1.3895,0.6516,0.1406,0.1839,4.25,85,85,0.3673,0.3866,13.5778,5.9871,0.6789
